Departmental Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Corporate,26/08/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate IT,CAPITA RESOURCING LTD,2022283296,"£36,644"
Department for Work and Pensions,Corporate,26/08/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate IT,CAPITA RESOURCING LTD,2022283296,"£32,947"
Department for Work and Pensions,Corporate,26/08/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate IT,CAPITA RESOURCING LTD,2022283296,"£53,345"
Department for Work and Pensions,Corporate,26/08/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate IT,CAPITA RESOURCING LTD,2022283296,"£25,204"
Department for Work and Pensions,Corporate,26/08/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate IT,CAPITA RESOURCING LTD,2022283296,"£9,710"
Department for Work and Pensions,Corporate,26/08/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate & Support Services,CAPITA RESOURCING LTD,2022283296,"£8,186"
Department for Work and Pensions,Corporate,26/08/2011,TEMPORARY (TEMP) STAFF COSTS,LSPG,CAPITA RESOURCING LTD,2022283296,"£3,604"
Department for Work and Pensions,Jobcentre Plus,26/08/2011,COMPUTER SERVICES,Jobcentre Plus,CAPITA RESOURCING LTD,2022283296,"£1,614"
Department for Work and Pensions,Corporate,26/08/2011,OTHER GOODS AND SERVICES,Corporate IT,DLA PIPER UK,2022283448,"£79,684"
Department for Work and Pensions,Jobcentre Plus,26/08/2011,EU PROGRAMMES,Jobcentre Plus,ENTERPRISE FIRST,2022284907,"£84,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,EOS WORKS LTD,2022284908,"£6,046"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,EOS WORKS LTD,2022284908,"£1,412"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,EOS WORKS LTD,2022284908,"£4,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,EOS WORKS LTD,2022284908,"£8,800"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,EOS WORKS LTD,2022284908,"£1,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,EOS WORKS LTD,2022284908,"£10,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,EOS WORKS LTD,2022284908,£600
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£8,800"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£11,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£17,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£1,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£11,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£24,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£2,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£19,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£6,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,£600
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£14,800"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£27,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£3,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£4,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£42,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£1,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£1,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£1,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,"£11,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,£600
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,£600
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2022284994,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,ACCESS TO WORK,WWEG EMPLOYMENT PROGRAMMES,GENERATE,2022284996,"£1,867"
Department for Work and Pensions,Employment Programmes,26/08/2011,ACCESS TO WORK,WWEG EMPLOYMENT PROGRAMMES,GENERATE,2022284996,"£35,628"
Department for Work and Pensions,Employment Programmes,26/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,HARLOW DISTRICT COUNCIL,2022285045,"£25,350"
Department for Work and Pensions,Employment Programmes,26/08/2011,JSP ESF DEL P COSTS,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£5,416"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£9,198"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£1,752"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£18,408"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£9,647"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£5,175"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£2,300"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£9,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£38,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£1,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£10,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£7,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£600
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£1,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£12,800"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£16,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£1,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£7,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£2,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£8,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£21,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£1,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£1,800"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£54,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£1,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£8,800"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£3,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£5,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£9,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£9,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£3,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£600
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£4,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£22,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£3,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£1,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£3,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£14,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,"£2,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2022285085,£600
Department for Work and Pensions,Employment Programmes,26/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,KIRKLEES COUNCIL,2022285402,"£92,100"
Department for Work and Pensions,Employment Programmes,26/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,KNOWSLEY METROPOLITAN BOROUGH COUNCIL,2022285403,"£141,450"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2022285686,"£1,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2022285686,"£9,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2022285686,"£2,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2022285686,"£2,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2022285686,"£2,800"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2022285686,"£21,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2022285686,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2022285686,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2022285686,"£2,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2022285686,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2022285686,"£1,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2022285747,"£10,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2022285747,"£6,800"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2022285747,£400
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2022285747,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2022285747,"£8,800"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2022285747,"£1,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2022285747,"£6,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2022285747,"£10,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2022285747,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2022285747,"£13,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2022285747,"£1,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2022285840,"£40,191"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2022285840,"£20,867"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2022285840,"£4,800"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2022285840,"£10,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2022285840,"£10,000"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2022285840,£600
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2022285840,£600
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022285851,"£6,400"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022285851,"£11,600"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022285851,£800
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022285851,"£1,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022285851,"£1,200"
Department for Work and Pensions,Employment Programmes,26/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022285851,£400
