Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.08.2011 to 31.08.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,CALDERDALE METROPOLITAN BOROUGH COUNCIL,382551,886620,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,KIRKLEES COUNCIL,382553,1726980,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,LEEDS CITY COUNCIL,382555,2773301,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD METROPOLITAN DISTRICT COUNCIL,382557,895315,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,GATESHEAD METROPOLITAN BOROUGH COUNCIL,382559,495175,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE CITY COUNCIL,382561,707982,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,NORTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,382563,706571,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,382565,365236,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,SUNDERLAND COUNTY COUNCIL,382567,809678,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BATH AND NE SOMERSET COUNCIL,382571,513097,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BRISTOL CITY COUNCIL,382573,1654540,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,NORTH SOMERSET DC,382575,619202,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTH GLOUCESTERSHIRE COUNCIL,382577,1049300,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,HARTLEPOOL BOROUGH COUNCIL,382579,272111,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,MIDDLESBOROUGH COUNCIL,382581,411349,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,REDCAR AND CLEVELAND BOROUGH COUNCIL,382583,385222,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,STOCKTON ON TEES,382585,623517,
