ENTITY,DATE,EXPENSE_AREA_3,EXPENSE_TYPE_3,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£34,341.73"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£32,856.96"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£94,787.25"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£151,755.66"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£29,612.48"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£43,428.00"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£31,936.50"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£185,062.50"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£1,752,272.80"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£453,177.53"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£68,556.55"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£1,095,423.13"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£1,116,250.00"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£71,028.90"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£769,204.35"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£390,383.18"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£104,509.20"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£102,430.63"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1036589,"£450,948.55"
MoJ HQ,20/Dec/2010 ,NZ406-Strategic Estates Feeder,265000-IT & Telecommunications,HEWLETT PACKARD LTD,1036988,"£312,961.04"
MoJ HQ,23/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1037347,"£29,366.16"
MoJ HQ,23/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1037347,"£29,612.48"
MoJ HQ,23/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1037347,"£55,229.21"
MoJ HQ,23/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1037347,"£66,854.30"
MoJ HQ,23/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1037347,"£144,359.33"
MoJ HQ,23/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1037347,"£53,979.50"
MoJ HQ,23/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1037347,"£151,755.66"
MoJ HQ,31/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1037774,"£170,958.98"
MoJ HQ,31/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1037774,"£713,558.23"
MoJ HQ,23/Dec/2010 ,KY500-Access to Justice Procurement,263000-Other Contracted Out Services,STAFFORDSHIRE COUNTY COUNCIL,1037492,"£170,604.13"
MoJ HQ,23/Dec/2010 ,KY500-Access to Justice Procurement,263000-Other Contracted Out Services,STAFFORDSHIRE COUNTY COUNCIL,1037492,"£146,181.75"
MoJ HQ,13/Dec/2010 ,RB999-JPG - CJRD,265000-IT & Telecommunications,LOGICA UK LTD,1036328,"£93,100.54"
MoJ HQ,13/Dec/2010 ,RB999-JPG - CJRD,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD T/A ATOS HEALTHCARE,1036219,"£65,233.65"
MoJ HQ,13/Dec/2010 ,RB999-JPG - CJRD,265000-IT & Telecommunications,LOGICA UK LTD,1036328,"£77,095.28"
MoJ HQ,29/Dec/2010 ,RB999-JPG - CJRD,265000-IT & Telecommunications,CABLE & WIRELESS,1037568,"£27,133.10"
MoJ HQ,31/Dec/2010 ,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",265000-IT & Telecommunications,HOME OFFICE IT,1037822,"£64,959.29"
MoJ HQ,31/Dec/2010 ,RB999-JPG - CJRD,265000-IT & Telecommunications,LOGICA UK LTD,1037838,"£77,095.28"
MoJ HQ,31/Dec/2010 ,RB999-JPG - CJRD,265000-IT & Telecommunications,LOGICA UK LTD,1037838,"£73,627.85"
MoJ HQ,02/Dec/2010 ,LZ600-Transforming Justice,264000-Consultancy,SERCO LTD,15274,"£26,589.16"
MoJ HQ,02/Dec/2010 ,MG600-International Directorate,223000-Other Expenditure,THE LAW SOCIETY,1035499,"£238,185.02"
MoJ HQ,09/Dec/2010 ,KY340-Access to Justice Delivery,224000-Staff travel and other,APPOINTMENTS COMMISSION,1035740,"£26,375.23"
MoJ HQ,06/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1035566,"£55,448.40"
MoJ HQ,06/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1035566,"£37,166.25"
MoJ HQ,09/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1035890,"£155,925.00"
