Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/11/2014,TELECOM RENTALS,PMO ICTS,BT,3000054768,66883.13,Telecomms charges,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/11/2014,HARDWARE LEASE,PMO ICTS,DE LAGE LANDEN LEASING LTD,3000054769,73223.20,"IT network equipment, support and professional services ",,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/11/2014,RESOURCE GRANTS PRIVATE SECTOR,V,VINSPIRED,3000054771,188000.00,Grant to support youth volunteering opportunities,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/11/2014,CAPITAL GRANTS PRIV SEC - CDEL,FIGHT FOR PEACE GRANT,FIGHT FOR PEACE UK,3000054743,228731.78,Redevelopment costs of the Fight for Peace Academy and Training Centre,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/11/2014,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,SME IDR & PENSIONS TECHNICAL LEAD,AON HEWITT,3000054797,31750.00,Professional advice on benefit contribution pension arrangements,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/11/2014,LEGAL ADVICE FROM TSOL,CABINET OFFICE LEGAL ADVISORS,TREASURY SOLICITOR TSOL,3000054803,335500.00,Legal services,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/11/2014,LIBRARY SERVICES - NON VAT RECOVERABLE,KNOWLEDGE MANAGEMENT,THE COPYRIGHT LICENSING AGENCY LTD,3000054809,823871.10,Copyright Licence Fees for Central Government Departments for ?20?14-15.,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,27/11/2014,Database,Relationship Mgmnt,Ingenium IDS SE,PINDOH 41230,27194.00,Full data cleanse of the Customer Relationship Management System,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/11/2014,INSIGNIA OVERHEAD COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,3000054844,68244.00,CO contribution to Central Chancery costs,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/11/2014,ADDITIONSAUC F/H NON RES BLDGS,MISC AGREED BY FD - PROG,BOUYGUES E&S FM UK LTD,3000054833,672965.56,Facilities Management Services,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/11/2014,OTHER IS IT COSTS VAT RECOV,PUBLIC SERVICES NETWORK,SPECIALIST COMPUTER CENTRES PLC,3000054871,38744.10,Managed services for Public Sector Network,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/11/2014,OTHER IS IT COSTS VAT RECOV,GDS GOV UK TRANSITION,UNBOXED CONSULTING LTD,3000054874,39849.50,IT support and development services,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/11/2014,OTHER IS IT COSTS VAT RECOV,G CLOUD,6POINT6 LTD,3000054862,40270.50,Service development for Digital Marketplace,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PROJECT HARBOUR RESOURCE,LA INTERNATIONAL,3000054878,60000.00,IT support costs,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/11/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,UNBOXED CONSULTING LTD,3000054874,129950.80,IT support and development services,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/11/2014,OPERATING LEASES - RENT,ROSEBERY COURT FM CONTRACT,J KING NORFOLK COORDINATION LTD,3000054866,159165.90,Rent for accommodation ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
