Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier,Account Description
FCO,FCO,23/12/2013,30773,43871.90,CAPITA GROUP PLC,Training Courses
FCO,FCO,20/12/2013,32928,43495.95,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,23/12/2013,157926,43431.24,MASTERMINDSHRSG CONSULTING,Programme Spend (Oracle Projects Control Account)
FCO,FCO,31/12/2013,161157,42481.48,THE DATA GROUP,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,13/12/2013,5394784,42243.48,ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,20/12/2013,16464,41759.38,FCO SERVICES,Construction Project more than £10k
FCO,FCO,31/12/2013,61720,40763.00,SMITHS DETECTION WATFORD LTD,"Estates - Other Machinery and Equipment, Security: Works Non-Residential"
FCO,FCO,04/12/2013,268682,40675.00,TRANSNATIONAL CRISIS PROJECT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/12/2013,40352,40288.25,G4S SECURITY SERVICES,Local Guards
FCO,FCO,11/12/2013,32928,40233.90,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,17/12/2013,73958,40000.00,UNICEF,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/12/2013,73958,40000.00,UNICEF,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/12/2013,32928,39857.08,FCO SERVICES,Construction Project more than £10k
FCO,FCO,06/12/2013,277546,39500.00,BRITISH COUNCIL INDONESIA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/12/2013,2839360,39455.34,ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Unscheduled repairs to building infrastructure"
FCO,FCO,20/12/2013,332300,38680.44,DESIGNS AND DIMENTIONS CONTRACTING LLC,Construction Project more than £10k
FCO,FCO,09/12/2013,25536,38543.58,INTERSERVE FM LTD,"Construction Project more than £10k, FM Interserve BES Maintenance, FM Interserve Building Fabric Maintenance, FM Interserve Works"
FCO,FCO,24/12/2013,59291,38534.52,PRI REP OFFICE CENTRAL ASIA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/12/2013,190776,38425.15,MEDIA DIVERSITY INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/12/2013,106477,37343.70,CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,23/12/2013,319431,37343.70,CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,19/12/2013,9064,37100.00,MARSH UK LTD,Insurance Of Personal Effects
FCO,FCO,18/12/2013,343864,36965.52,ASPAUD CO,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,20/12/2013,145550,36843.23,SHANGHAI ENVIRONMENT & ENERGY EXCHANGE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/12/2013,32928,36710.27,FCO SERVICES,Construction Project more than £10k
FCO,FCO,11/12/2013,291044,36700.92,PHOENIX AVIATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/12/2013,98784,36693.17,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,17/12/2013,7352,36652.00,IT POWER LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/12/2013,32928,36614.85,FCO SERVICES,Construction Project more than £10k
FCO,FCO,23/12/2013,298840,36543.10,ACTED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/12/2013,107284,36284.92,NORTEL SECURITY ZAO OP,Local Guards
FCO,FCO,17/12/2013,3133614,35875.37,ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Rental Payments - non residential, Telephone Call Charges"
FCO,FCO,17/12/2013,212954,35598.95,CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,11/12/2013,23562,35578.12,HAYS SPECIALIST RECRUITMENT LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,29/12/2013,291642,35464.61,AFGHANISTAN JUSTICE ORGANIZATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,25/12/2013,3403,34728.00,HEWLETT PACKARD LTD,Information Systems Maintenance
FCO,FCO,12/12/2013,310040,34698.84,SPARK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,31/12/2013,309764,34526.00,WITNESS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/12/2013,92596,34499.91,INTERNATIONAL PEACE COOPERATION CENTER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/12/2013,172490,34465.00,DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/12/2013,293864,34424.17,CENTRE FOR LOW CARBON FUTURES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/12/2013,65856,34283.74,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,17/12/2013,293096,34259.66,SWAAT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/12/2013,271556,34157.16,SG ELECTRICAL SOLUTIONS,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,17/12/2013,10540338,33765.85,ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Non Residential, Property Maintenance Overseas Residential, Rental Payments - residential, Water Non-Residential, Water Residential"
FCO,FCO,12/12/2013,17467,33730.00,FINANCIAL TIMES LIMITED,Publications
FCO,FCO,24/12/2013,288576,33409.28,ECORYS RESEARCH AND CONSULTING LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/12/2013,183952,33366.48,DIPLOMAT FREIGHT SERVICES LTD(DFS),Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/12/2013,1898,32990.97,CAPGEMINI UK PLC,IT/IS Consultancy
