Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount 
DFID,DFID,04/11/2010,Aid to partner government,East and Central Africa,THE CROWN AGENTS,400127161,"3,640,000.00"
DFID,DFID,04/11/2010,Technical & Advisory services,Western Asia and Stabilisation Division,THE CROWN AGENTS,400127176,"32,274.90"
DFID,DFID,05/11/2010,Aid to civil society organisations / NGOs,West and Southern Africa,CIP (Centro de Integridade Publica),400127184,"46,717.50"
DFID,DFID,04/11/2010,Research & Development,Policy and Research Directorate,JOHN HOPKINS UNIVERSITY,400127195,"160,296.24"
DFID,DFID,05/11/2010,Aid to civil society organisations / NGOs,Asia Division,THE GURKHA WELFARE SCHEME,400127199,"320,000.00"
DFID,DFID,05/11/2010,Office Equipment,East and Central Africa,THE CROWN AGENTS,400127201,"40,065.06"
DFID,DFID,05/11/2010,Aid to civil society organisations / NGOs,Communications Division,Damaris Global Learning,400127212,"62,026.00"
DFID,DFID,05/11/2010,Aid to civil society organisations / NGOs,Asia Division,INTERNATIONAL ALERT,400127219,"70,315.31"
DFID,DFID,05/11/2010,Aid to civil society organisations / NGOs,West and Southern Africa,The Tropical Health and Education Trust,400127221,"41,814.00"
DFID,DFID,05/11/2010,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE REGIONAL LAW REVISION CENRE,400127223,"50,000.00"
DFID,DFID,05/11/2010,Aid to international organisations,Policy and Research Directorate,WHO (GENEVA),400127225,"500,000.00"
DFID,DFID,05/11/2010,Communications,Business Solutions Division Level,OGC BUYING SOLUTIONS,400127226,"143,116.82"
DFID,DFID,05/11/2010,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",UNDP CONTRIBUTIONS GBP,400127227,"632,688.00"
DFID,DFID,05/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,OXFAM,400127228,"45,695.00"
DFID,DFID,05/11/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",ACTED,400127233,"139,634.66"
DFID,DFID,05/11/2010,Technical & Advisory services,Policy and Research Directorate,ANDREW ROBY,400127234,"28,916.00"
DFID,DFID,05/11/2010,Aid to civil society organisations / NGOs,West and Southern Africa,VSO,400127243,"590,282.00"
DFID,DFID,05/11/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",TRANSPARENCY INTERNATIONAL (UK),400127248,"82,675.00"
DFID,DFID,07/11/2010,Technical & Advisory services,Asia Division,DELOITTE TOUCHE TOHMATSU INDIA PRIVA,400127271,"51,770.87"
DFID,DFID,08/11/2010,Technical & Advisory services,East and Central Africa,Crown Agents Bank,400127324,"3,000,000.00"
DFID,DFID,08/11/2010,Aid to civil society organisations / NGOs,East and Central Africa,MEDECINS  SANS FRONTIERES,400127362,"27,879.00"
DFID,DFID,08/11/2010,Aid to civil society organisations / NGOs,East and Central Africa,MEDECINS  SANS FRONTIERES,400127362,"359,292.00"
DFID,DFID,05/11/2010,Aid to international organisations,Policy and Research Directorate,"Department for Business, Innovation & Skills",400127364,"50,000.00"
DFID,DFID,05/11/2010,Aid to international organisations,Policy and Research Directorate,WELLCOME TRUST,400127368,"278,267.00"
DFID,DFID,05/11/2010,Direct Programme training / facilitation,East and Central Africa,COI - GCN,400127374,"104,291.26"
DFID,DFID,05/11/2010,Technical & Advisory services,Central Department Division,THE CROWN AGENTS,400127376,"36,250.00"
DFID,DFID,05/11/2010,Medical & Health Supplies/Services,West and Southern Africa,THE CROWN AGENTS,400127388,"802,037.89"
DFID,DFID,05/11/2010,Technical & Advisory services,West and Southern Africa,THE CROWN AGENTS,400127388,"22,770.61"
DFID,DFID,08/11/2010,Aid to civil society organisations / NGOs,Communications Division,INTERN DEVEL EDUC ASSOC OF SCOTLAND,400127404,"50,178.00"
DFID,DFID,08/11/2010,Aid to civil society organisations / NGOs,East and Central Africa,MEDAIR,400127417,"814,089.00"
DFID,DFID,08/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,YAYASAN KEANEKARAGMAN HAYATI INDONESIA - KEHATI,400127440,"1,180,977.00"
DFID,DFID,08/11/2010,Technical & Advisory services,International Relations Division,Deposit Insurance Agency - Social Inclusion,400127493,"29,955.08"
DFID,DFID,08/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,TRANSPARENCY INTERNAT,400127499,"272,500.00"
DFID,DFID,05/11/2010,Technical & Advisory services,Policy and Research Directorate,THE IDL GROUP,400127504,"36,135.13"
DFID,DFID,05/11/2010,Technical & Advisory services,Business Solutions Division Level,TRIBAL HELM CORPORATION LTD,400127511,"57,319.20"
DFID,DFID,08/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,EUROPEAN FOREST INSTITUTE,400127514,"223,769.86"
DFID,DFID,05/11/2010,Technical & Advisory services,Business Solutions Division Level,TRIBAL HELM CORPORATION LTD,400127515,"38,796.69"
DFID,DFID,08/11/2010,Energy Costs,Human Resources Division,EDF ENERGY,400127516,"31,095.96"
DFID,DFID,05/11/2010,Technical & Advisory services,Policy and Research Directorate,WRENmedia,400127518,"40,672.44"
DFID,DFID,05/11/2010,Technical & Advisory services,Asia Division,WSP INTERNATIONAL LIMITED,400127519,"552,205.48"
