Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,,,,,,,,,,,,
DEFRA,DEFRA,10/02/2016,Evidence Non R&D,"Strategy, International, Food and Farming DG Group",Sea Mammal Research Unit,RG051346,51910.33 ,PO 348138 5th INTERIM REPORT,KY16 8LB,SME,MF1228,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,11/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",Centre For Ecology & Hydrology,7060009330,-41590.00 ,PO 356653 CREDIT NOTE FOR REF INV NO 7060009212,OX10 8BB,SME,Exempt,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Other Current Payments (GB),Environment and Rural DG Group,Hampshire Police Authority,3680003067,34000.00 ,PO 382156 ADVANCED PAYMENT,SO22 5DB,,21307,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Herefordshire Council,090216,91501.00 ,PO 382181 GRANT CLAIM FOR 01.04.2015 - 31.12.2015,HR1 2XW,,GIA,WYEVAL01,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Nidderdale AONB,180116,119243.42 ,PO 382197 GRANT CLAIM FOR 01.04.2015 - 31.12.2015,HG1 2SG,,GIA,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Somerset County Council,13011612585700,125857.00 ,PO 382172 GRANT CLAIM FOR 01.04.2015 - 31.12.2015,TA1 4DY,,,QUANTOCK,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Indigo Blue Consulting Ltd,1512699,29016.00 ,PO 376915 CONTRACTOR  DEC 15,SW1Y 6JP,SME,CAP269,CAPDPROG,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Suffolk County Council,210116,102692.00 ,PO 382183 GRANT CLAIM FOR 01.04.2015 - 31.12.2015,IP1 2BX,,GIA,DEDHAM01,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Grant-in Aid Payments,Environment and Rural DG Group,Joint Nature Conservation Committee,040216,850000.00 ,PO 376879 GRANT IN AID PAYMENT FOR JNCC FEB 2016,PE1 1JY,SME,GIA,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10087191,158388.85 ,REFERENCE PRE - BILLER P50393 FEES & EXPENSES INCLUDED WITHIN PERIOD ENDING 09.01.2016,SL6 1DP,,,00000000,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Somerset County Council,130116,112530.25 ,PO 382194 GRANT CLAIM FOR APR 2015 - DEC 2015,TA1 4DY,,NOBEL HOUSE,MENDIP01,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Lancashire County Council,270116,154647.86 ,"PO 382048, PERIOD COVERED BY GRANT CLAIM  01 APRIL 2015 - 31 DEC 2015",PR1 0LD,,GIA,BOWLAND1,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM109665,60123.00 ,PO 380849 CONSULTANCY,B11 2LE,SME,CAP500,CAPDFA02,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Contractor - Management Cover,Chief Operating Officer DG,Indigo Blue Consulting Ltd,1601707,51300.00 ,PO 380232  NOV/DEC 2015- payment,SW1Y 6JP,SME,CAP392,CAPDBA00,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Dept For Communities & Local Gov,030216,75595.23 ,"PO 382202, PERIOD COVERED BY GRANT CLAIM  01 APRIL 2015 - 31 DEC 2015",LN1 1YL,,GIA,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Northumberland County Council,110116,75778.00 ,PO 382198 GRANT CLAIM FOR APR 2015 - DEC 2015,NE61 2EF,,GIA,NORTHMB1,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Nidderdale AONB,180116,100498.97 ,PO 382182 GRANT CLAIM FOR 01.04.2015 - 18.01.2016,EX10 8HL,,GIA,EASTDEVN,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,FM Projects Non Capital Works,Chief Operating Officer DG,Merrick UK Ltd,0000104,43778.40 ,"PO 379841,  WEYBRIDGE SSB INVESTIGATION",80111,,21603,B0870000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Somerset County Council,130116,82834.33 ,PO 382184 GRANT CLAIM FOR 01.04.2015 - 31.12.2015,EX2 4QD,,GIA,BLACKDWN,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Wiltshire Council,060116,158634.68 ,PO 382192 GRANT CLAIM FOR APR 2015 - DEC 2015,BA14 8JJ,,GIA,NWESSEX1,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Staffordshire County Council,190116,86763.25 ,PO 382191 GRANT CLAIM FOR 01.04.2015 - 31.12.2015,ST16 2NF,,GIA,CANNOCK1,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,12/02/2016,Current Grants E,Environment and Rural DG Group,Suffolk County Council,200116,117297.00 ,PO 382193 GRANT CLAIM FOR 01.04.2015 - 31.12.2015,IP1 2BX,,GIA,SUFFOLK1,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,15/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",Fera Science Limited,8098500390,-27577.09 ,PO 378506 CREDIT NOTE FOR REF INV 6138005082,YO41 1LZ,,TH0119,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",Centre For Ecology & Hydrology,7060009212,41590.00 ,PO 356653 NEC04658 WQ0223 DEVELOPING A FIELD TOOL KIT,OX10 8BB,SME,Exempt,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Evidence Non R&D,Environment and Rural DG Group,Department Of Energy and Climate Change,1100035231,28906.00 ,PO 377933 ZZ999 Ad Hoc PRODUCT CODE DEFRA 50% CONBTRIBUTION TO THE ASC NOV 2015,SW1A 2HD,SME,IGS,ADAPTASC,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Other Current Payments E,"Strategy, International, Food and Farming DG Group",Animal and Plant Health Agency,5000079140,151716.70 ,PO 377580 CPH RATIONALISATION,YO1 7PX,SME,DFP,EREPMACD,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Current Grants E,Environment and Rural DG Group,Shropshire Hills AONB,020216,119314.00 ,PO 382173 DEFRA GRANT CLAIM PERIOD APR - DEC 2015,SY2 6ND,,GIA,SHROPS01,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Other Current Payments E,Environment and Rural DG Group,I P L Information Processing Ltd,38642,28298.40 ,PO 376317 JANUARY 2016 SUPPORT,BA1 5LR,,21834,WPLAWP01,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,16/02/2016,Other Current Payments (Evidence R&D),Environment and Rural DG Group,Health & Safety Laboratory,043537,38400.00 ,"PO 375329,  EAST COAST FLOODING",SK17 9JN,,FDP,00000000,Expense,,,,,,,,,,,,,,,
