Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,
Cabinet Office,CABINET OFFICE,30/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000066662,28856.52,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,30/11/2015,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,THE TREASURY SOLICITOR,3000066686,85950.66,Legal services,,
Cabinet Office,CABINET OFFICE,30/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS PUBLISHING PLATFORM TECHNOLOGY,GOVDELIVERY,2000746,129336.10,Payment for 6 months fees for services to GDS,,
Cabinet Office,CABINET OFFICE,30/11/2015,PRINT SERVICES,CABINET OFFICE REPROGRAPHICS (EX GCDA),NRG GROUP UK LTD,3000066668,28427.60,Reprographic Services,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
