Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction No,Payment Description, Total 
Ministry of Defence,Ministry of Defence,11/10/2013,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,259519,Cost of other material consumed,"14,491.00"
Ministry of Defence,Ministry of Defence,31/10/2013,"Transportation of personnel, freight and travel expenses",Air Command,CITYSPRINT (UK) LIMITED,RH1 1SH,267360,Freight movement costs,"14,475.00"
Ministry of Defence,Ministry of Defence,24/10/2013,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,264518,Cost of other material consumed,"14,457.88"
Ministry of Defence,Ministry of Defence,22/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,"AAR INTERNATIONAL, INC.",TW6 2RE,263417,Equipment support non-project costs,"14,433.76"
Ministry of Defence,Ministry of Defence,10/10/2013,IT and communication services,Defence Equipment & Support,ACTICA CONSULTING LIMITED,GU2 7YF,258879,Operating lease IT and communications,"14,416.00"
Ministry of Defence,Ministry of Defence,07/10/2013,"Transportation of personnel, freight and travel expenses",Joint Forces Command,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,257700,Military short term detached duty,"14,351.61"
Ministry of Defence,Ministry of Defence,14/10/2013,General services and support,Defence Equipment & Support,MARSHALL SPECIALIST VEHICLES  LIMITED,CB5 8RX,260304,Defence equipment CLS/IOS service charge,"14,282.83"
Ministry of Defence,Ministry of Defence,02/10/2013,Rent and rates,Defence Infrastructure Organisation ,SVO VERTRIEB GMBH,,5000102820,Rent buildings - non civil estate property and married quarter property,"14,215.97"
Ministry of Defence,Ministry of Defence,11/10/2013,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,260030,Cost of other material consumed,"14,180.63"
Ministry of Defence,Ministry of Defence,25/10/2013,Medical treatment & stores and welfare services,Joint Forces Command,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,265345,Medical health services,"14,161.51"
Ministry of Defence,Ministry of Defence,03/10/2013,Spend on Inventory - General,Navy Command,TURNER VIRR & CO. LTD,LS25 2DY,257069,Spend on Inventory - General,"14,131.20"
Ministry of Defence,Ministry of Defence,01/10/2013,Payment of utilities,Land Forces,GB OILS LIMITED,FK5 4RB,255842,Utilities consumed - heating oil,"14,050.21"
Ministry of Defence,Ministry of Defence,28/10/2013,"Transportation of personnel, freight and travel expenses",Defence Infrastructure Organisation ,AGILITY LOGISTICS LIMITED,RG1 2LG,265745,Movement of service personnel,"14,025.18"
Ministry of Defence,Ministry of Defence,01/10/2013,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,255734,Cost of other material consumed,"14,009.92"
Ministry of Defence,Ministry of Defence,09/10/2013,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,258438,Consumption of medical dental and veterinary inventory,"13,856.93"
Ministry of Defence,Ministry of Defence,11/10/2013,Purchase of inventory and services ,Joint Forces Command,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,259596,Cost of other material consumed,"13,799.97"
Ministry of Defence,Ministry of Defence,03/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,256788,Equipment support non-project costs,"13,743.80"
Ministry of Defence,Ministry of Defence,17/10/2013,Payment of utilities,Land Forces,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,261755,Utilities consumed - gas,"13,733.42"
Ministry of Defence,Ministry of Defence,11/10/2013,Payment of utilities,Defence Equipment & Support,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,259616,Utilities consumed - electricity,"13,656.59"
Ministry of Defence,Ministry of Defence,30/10/2013,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,267231,Cost of other material consumed,"13,606.87"
Ministry of Defence,Ministry of Defence,11/10/2013,Purchase of inventory and services ,Air Command,WILLIAMS LEA LIMITED,NR3 1PD,260016,Cost of other material consumed,"13,517.75"
Ministry of Defence,Ministry of Defence,24/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,264616,Equipment support non-project costs,"13,506.33"
Ministry of Defence,Ministry of Defence,30/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,TTS MARINE AB,,3000009740,Equipment support non-project costs,"13,500.00"
Ministry of Defence,Ministry of Defence,08/10/2013,Fuel for military use,Defence Infrastructure Organisation ,WATSON PETROLEUM LTD,SN15 5DN,258427,Cost of ground diesel fuel consumed,"13,494.00"
Ministry of Defence,Ministry of Defence,30/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,MARSHALL AVIATION SERVICES LIMITED,CH4 0BA,266994,Equipment support non-project costs,"13,466.25"
