Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description,,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4752529,63706.74,WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4757799,62458.75,ARTICLE 19,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4748138,62231.05,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,31/07/2014,4774655,62166.68,COGENT ELECTRICAL SERVICES LTD FORM WES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4765080,60495.85,GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4752313,60291.17,COGENT ELECTRICAL SERVICES LTD FORM WES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,03/07/2014,4748215,59351.10,HRVATSKI ZAVOD ZA JAVNO ZDRASTVO,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,03/07/2014,4747020,59237.50,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,Rental Payments - non residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4764046,58467.00,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4766649,58170.00,HARIS ENTERPRISES PVT LTD,Local Guards,,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4768514,55944.49,BRITISH CHAMBER OF COMMERCE,UKTI HQ Allocation- DSO,,,,,,,,,,,,,,,,,,,,
FCO,FCO,31/07/2014,4774465,54893.31,ELECTORAL REFORM INTERNATIONAL SERVICES LTD,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4763566,54710.27,ACTIONAID MYANMAR,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,03/07/2014,4747020,53012.00,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,Rental Payments - non residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4764406,52965.00,GLOBAL PARTNERS AND ASSOCIATES,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,29/07/2014,4771343,52887.03,GRAEBECK CONSTRUCTION LTD,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4758218,52383.73,Timor Bilal Construction Company,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,18/07/2014,4762942,51530.00,GLOBAL COMPACT NETWORK INDIA,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,02/07/2014,4746645,51423.95,SKA INTERNATIONAL GROUP,Property Maintenance Overseas Non Residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,18/07/2014,4762612,51054.13,G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,Payments On Behalf Of Other External Orgns,,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4765548,50646.21,ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - non residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,11/07/2014,4755492,50391.74,NORTHERN IRELAND CO OPERATION OVERSEAS NI CO LIMITED,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4758202,50000.00,ORGANISATION FOR ECONOMIC CO OPERATION AND DEVELOPMENT OECD,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,31/07/2014,4774645,49620.31,NORTHERN IRELAND CO OPERATION OVERSEAS NI CO LIMITED,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,29/07/2014,4772829,48281.47,AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4758021,48246.39,N A MOVING SERVICES LTD,Heavy Baggage,,,,,,,,,,,,,,,,,,,,
FCO,FCO,08/07/2014,4750753,48159.38,NATIONAL DEMOCRATIC INSTITUTE,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,18/07/2014,4761170,47970.00,LAPIS LIMITED,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4749551,47526.60,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4764165,47326.77,G4S SECURE SOLUTIONS (UK),Manned Guarding Services,,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4760149,47073.27,INTERSERVE FM LTD,Mail & Porterage Services,,,,,,,,,,,,,,,,,,,,
FCO,FCO,29/07/2014,4772145,46205.00,CONSOLIDATED PR LTD,Public Relations,,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4765560,46046.40,ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - non residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,30/07/2014,4763850,46001.55,MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4754924,45768.42,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4757990,45285.00,MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4757932,45168.44,ADVICE ON INDIVIDUAL RIGHTS IN EUROPE,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,30/07/2014,4769817,45000.00,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,18/07/2014,4762937,45000.00,LEITHS,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,17/07/2014,4758521,44970.62,NEW ERA OIL AND GAS,Fuel Oil Non-Residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,25/07/2014,4768823,44749.08,UTRIKESDEPARTEMENTET,Le Staff Pay,,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4760149,44640.48,INTERSERVE FM LTD,Interim Helpdesk,,,,,,,,,,,,,,,,,,,,
FCO,FCO,18/07/2014,4762612,44407.30,G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Mobile Guarding Contract overseas,,,,,,,,,,,,,,,,,,,,
FCO,FCO,30/07/2014,4769833,43710.71,FCO SERVICES,Estates - Other Machinery and Equipment,,,,,,,,,,,,,,,,,,,,
FCO,FCO,22/07/2014,4765883,43554.00,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Temporary Staff (Admin and Clerical Only),,,,,,,,,,,,,,,,,,,,
FCO,FCO,30/07/2014,4770647,41679.17,GP STRATEGIES SHANGHAI CO LTD,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4754963,40859.67,SWAAT,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,25/07/2014,4760150,40645.33,INTERSERVE FM LTD,Residential Property Services,,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4758091,40338.00,CONSOLIDATED PR LTD,Public Relations,,,,,,,,,,,,,,,,,,,,
FCO,FCO,04/07/2014,4747029,40000.00,UNICEF,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4763797,39900.00,KOMESARIJAT ZA IZBEGLICE I MIGRACIJE PROGRAM 1003 KOMISIJA ZA NESTALA LICA VLADE REPUBLIKE SRBIJE,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,07/07/2014,4749640,39700.32,JUPITER REALTY PVT. LTD,Rental Payments - residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,11/07/2014,4755244,39518.73,ARTEOS GMBH,Electricity Non-Residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4752323,39000.00,CHATHAM HOUSE,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4768242,38992.00,ADROIT CONSULTANTS LLP,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4764048,37981.00,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,30/07/2014,4757519,37720.35,TURNER AND TOWNSEND PROPERTY SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,22/07/2014,4762140,37630.00,INSTITUTE FOR PUBLIC POLICY IN BISHKEK,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,31/07/2014,4774758,37351.16,KOIZA INTERNATIONAL LTD,Repair and maintenance of furniture and fittings,,,,,,,,,,,,,,,,,,,,
