MODGPC42158,03-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł578.21,42158
MODGPC42159,01-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł573.60,42159
MODGPC42160,01-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł985.61,42160
MODGPC42161,09-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł702.00,42161
MODGPC42162,03-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł2,408.48",42162
MODGPC42163,04-Oct-12,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"Ł2,292.48",42163
MODGPC42164,04-Oct-12,Building Materials                 , CONSTRUCTION MATERIALS - DEF,Ł609.12,42164
MODGPC42165,04-Oct-12,Building Materials                 , CONSTRUCTION MATERIALS - DEF,Ł919.80,42165
MODGPC42166,08-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,452.00",42166
MODGPC42167,08-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł2,655.48",42167
MODGPC42168,10-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł785.10,42168
MODGPC42169,05-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł3,676.20",42169
MODGPC42170,01-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł991.78,42170
MODGPC42171,03-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł890.75,42171
MODGPC42172,08-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł686.56,42172
MODGPC42173,01-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł639.99,42173
MODGPC42174,04-Oct-12,Building Services                  , ELECTRICAL CONTRACTORS,Ł579.18,42174
MODGPC42175,03-Oct-12,Building Services                  , ELECTRICAL CONTRACTORS,"Ł1,780.44",42175
MODGPC42176,03-Oct-12,Building Services                  , ELECTRICAL CONTRACTORS,"Ł2,556.00",42176
MODGPC42177,02-Oct-12,Building Services                  ," HEATING, PLUMBING, AIR COND",Ł528.00,42177
MODGPC42178,08-Oct-12,Building Services                  ," HEATING, PLUMBING, AIR COND",Ł987.86,42178
MODGPC42179,04-Oct-12,Building Services                  ," HEATING, PLUMBING, AIR COND","Ł1,796.08",42179
MODGPC42180,10-Oct-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"Ł1,531.57",42180
MODGPC42181,01-Oct-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł2,706.17",42181
MODGPC42182,02-Oct-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł508.43,42182
MODGPC42183,10-Oct-12,Building Services                  , ELECTRICAL CONTRACTORS,Ł741.12,42183
MODGPC42184,08-Oct-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł760.14,42184
MODGPC42185,03-Oct-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł2,027.04",42185
MODGPC42186,02-Oct-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"Ł1,622.88",42186
MODGPC42187,09-Oct-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł598.34,42187
MODGPC42188,02-Oct-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł649.21,42188
MODGPC42189,08-Oct-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"Ł3,160.30",42189
MODGPC42190,05-Oct-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"Ł1,392.35",42190
MODGPC42191,02-Oct-12,Catering and Catering Supplies     , CATERERS,"Ł1,118.90",42191
MODGPC42192,09-Oct-12,Catering and Catering Supplies     , CATERERS,Ł954.00,42192
MODGPC42193,06-Oct-12,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,Ł768.80,42193
MODGPC42194,03-Oct-12,Cleaning Services and Supplies     , DRY CLEANERS,Ł568.80,42194
MODGPC42195,01-Oct-12,Cleaning Services and Supplies     , DRY CLEANERS,"Ł2,900.00",42195
MODGPC42196,10-Oct-12,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,"Ł1,828.80",42196
MODGPC42197,08-Oct-12,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,"Ł7,455.60",42197
MODGPC42198,08-Oct-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł1,591.20",42198
MODGPC42199,08-Oct-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,Ł900.56,42199
MODGPC42200,09-Oct-12,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,"Ł1,920.00",42200
MODGPC42201,05-Oct-12,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,"Ł1,620.00",42201
MODGPC42202,10-Oct-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł2,511.60",42202
MODGPC42203,09-Oct-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł2,010.74",42203
MODGPC42204,11-Oct-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,Ł843.16,42204
MODGPC42205,04-Oct-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł1,344.70",42205
MODGPC42206,09-Oct-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł4,341.07",42206
MODGPC42207,04-Oct-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł1,000.00",42207
