Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,18/05/2015,"Transportation of personnel, freight and travel expenses",JFC,ARAMARK LTD,LS16 6QY,11901,Civilian short term detached duty,£28.40
Ministry of Defence,Ministry of Defence,26/05/2015,"Transportation of personnel, freight and travel expenses",Land Forces,JOSEPH GLEAVE & SON LTD,M32 0NB,15378,Building maintenance accommodation inventory,£28.37
Ministry of Defence,Ministry of Defence,27/05/2015,Design services and minor equipment purchases,Air Command,BRIDGEHEAD CONTAINER SERVICES LTD,L3 1DS,15699,Freight movement costs,£28.20
Ministry of Defence,Ministry of Defence,27/05/2015,Fuel for military use,Land Forces,BRIDGEHEAD CONTAINER SERVICES LTD,L3 1DS,15699,Freight movement costs,£28.20
Ministry of Defence,Ministry of Defence,27/05/2015,IT and communication services,Land Forces,BRIDGEHEAD CONTAINER SERVICES LTD,L3 1DS,15699,Freight movement costs,£28.20
Ministry of Defence,Ministry of Defence,27/05/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,BRIDGEHEAD CONTAINER SERVICES LTD,L3 1DS,15699,Freight movement costs,£28.20
Ministry of Defence,Ministry of Defence,27/05/2015,Spend on Inventory - General,Defence Equipment + Support,BRIDGEHEAD CONTAINER SERVICES LTD,L3 1DS,15699,Freight movement costs,£28.20
Ministry of Defence,Ministry of Defence,28/05/2015,"Transportation of personnel, freight and travel expenses",HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000102,Civilian short term detached duty,£27.78
Ministry of Defence,Ministry of Defence,18/05/2015,Purchase of inventory and services ,JFC,COONEEN DEFENCE LIMITED,BT75 0NE,10045,Cost of purchasing and repairing clothing,£27.58
Ministry of Defence,Ministry of Defence,14/05/2015,Design services and minor equipment purchases,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000015,Equipment support non-project costs,£27.42
Ministry of Defence,Ministry of Defence,28/05/2015,Research and development,Defence Equipment + Support,CARILLIONAMEY LIMITED,WV1 4HY,16207,Estate core services charge,£27.28
Ministry of Defence,Ministry of Defence,21/05/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,SERCO LIMITED,RG27 9UY,14560,Military short term detached duty,£27.13
Ministry of Defence,Ministry of Defence,20/05/2015,Design services and minor equipment purchases,Defence Equipment + Support,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,13755,Freight movement costs,£27.02
Ministry of Defence,Ministry of Defence,13/05/2015,Fuel for military use,DES Bespoke Trading Entity,JOSEPH GLEAVE & SON LTD,M32 0NB,10667,Spend on Inventory - General,£27.00
Ministry of Defence,Ministry of Defence,27/05/2015,"Transportation of personnel, freight and travel expenses",Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,15665,Information technology services,£26.92
Ministry of Defence,Ministry of Defence,27/05/2015,Fuel for military use,DEFENCE INFRASTRUCTURE ORGANISATION,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,15684,Cost of other material consumed,£26.86
Ministry of Defence,Ministry of Defence,13/05/2015,Fuel for military use,Land Forces,SOFTWARE BOX LIMITED,YO61 1ET,10775,Cost of other material consumed,£26.81
Ministry of Defence,Ministry of Defence,26/05/2015,Design services and minor equipment purchases,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000065,Equipment support non-project costs,£26.70
Ministry of Defence,Ministry of Defence,18/05/2015,Design services and minor equipment purchases,DEFENCE INFRASTRUCTURE ORGANISATION,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,11955,Cost of other material consumed,£26.63
Ministry of Defence,Ministry of Defence,18/05/2015,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,11955,Purchase of defence support equipment below capitalisation threshold of £25k.,£26.63
Ministry of Defence,Ministry of Defence,19/05/2015,Rental of plant and machinery,Land Forces,CANON (UK) LIMITED,RH2 8BF,13130,Computer equipment costing below the capitalisation threshold,£26.55
Ministry of Defence,Ministry of Defence,21/05/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,14202,Cost of other material consumed,£26.45
Ministry of Defence,Ministry of Defence,10/05/2015,Administration,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,10002,Consumption of medical dental and veterinary inventory,£26.28
Ministry of Defence,Ministry of Defence,27/05/2015,Fuel for military use,DES Bespoke Trading Entity,WILLIAMS LEA LIMITED,NR3 1PD,16131,Cost of other material consumed,£26.25
