Department,Entity,Date,Expense type,Expense Area,Supplier Name,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Number,Expenditure type,
DEFRA,Core Defra,03/04/2012,Current Grants E,Policy Delivery DG,Yorkshire Dales National Authority,140312,"Ł1,204,545.00",Quarter 1 2012-13 Yorkshire Dales National Park Grant in Aid payment,DL8 3EL,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants E,Policy Delivery DG,Exmoor National Park Authority,140312,"Ł923,853.00",Quarter 1 2012-13 Exmoor National Park Grant in Aid payment,TA22 9HL,,EXEMPT,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants E,Policy Delivery DG,Broads Authority,140312,"Ł943,699.00",Quarter 1 2012-13 Payment to the Broads Authority re: Areas of Outstanding Natural Beauty,NR3 1UB,,Exempt,00000000,Expense,
DEFRA,Core Defra,11/04/2012,Current Grants E,Policy Delivery DG,The Chilterns Conservation Board,290312,"Ł118,798.00",Quarter 1 2012-13 Payment to the Chilterns Conservation Board re: Areas of Outstanding Natural Beauty,OX39 4HA,SME,Exempt,00000000,Expense,
DEFRA,Core Defra,17/04/2012,Other Current Payments E,Policy Delivery DG,JSS Pensions Administration,4035,"Ł108,461.09",March 2012 payment of Nature Conservancy Council pensions payments,SN2 1FF,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants E,Policy Delivery DG,New Forest National Park Auth,140312,"Ł1,011,260.00",Quarter 1 2012-13 New Forest National Park Grant in Aid payment,SO41 9ZG,SME,EXEMPT,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants E,Policy Delivery DG,Dartmoor National Park Authority,140312,"Ł1,217,126.00",Quarter 1 2012-13 Dartmoor National Park Grant in Aid payment,TQ13 9JQ,,exempt,00000000,Expense,
DEFRA,Core Defra,17/04/2012,Grant-in Aid Payments,Policy Delivery DG,The National Forest Co,030412,"Ł604,542.00",Quarter 1 Grant in Aid payment to the National Forest Company,DE12 6BA,SME,Exempt,00000000,Expense,
DEFRA,Core Defra,11/04/2012,Current Grants E,Policy Delivery DG,Cotswolds Conservation Board,160312,"Ł122,461.25",Quarter 1 2012-13 Payment to the Cotswolds Conservation Board re: Areas of Outstanding Natural Beauty,GL54 3JH,SME,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants E,Policy Delivery DG,South Downs National Park Authority,140312,"Ł1,780,821.00",Quarter 1 2012-13 South Downs National Park Grant in Aid payment,GU29 9SB,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants E,Policy Delivery DG,North York Moors National Park,140312,"Ł1,211,172.00",Quarter 1 2012-13 North York Moors National Park Grant in Aid payment,YO62 5BP,,exempt,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Other Current Payments E,Policy Delivery DG,North Pennines AONB Partnership,160412,"Ł92,756.25",Quarter 1 2012-13 North Pennines National Park Grant in Aid payment,DL13 2UY,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants E,Policy Delivery DG,Peak District National Park Auth,140312,"Ł2,550,000.00",Quarter 1 2012-13 Peak District National Park Grant in Aid payment,DE45 1AE,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Grant-in Aid Payments,Policy Delivery DG,Natural England,280312,"Ł17,000,000.00",Grant in Aid payment for April 2012 to Natural England,YO1 7PX,,Exempt,00000000,Expense,
DEFRA,Core Defra,13/04/2012,Other Current Payments (GB),Policy Delivery DG,A D A S UK Ltd,RIRP060304,"Ł28,309.20",Quarter 4 2011-12 Payment to ADAS re: delivery work relating to EU protected food name scheme,WV6 8TQ,,11126/1,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Evidence Non R&D,Policy Delivery DG,A E A Technology - SPM Lead Contract,6147491,"Ł136,077.34",SCP Lead Contract - April 2010 - October 2010,OX11 0QJ,,10548,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Evidence Non R&D,Policy Delivery DG,A E A Technology - SPM Lead Contract,6147822,"Ł152,928.29",SCP Lead Contract - EUP,OX11 0QJ,,10548,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Thomson Reuters (Professional UK) Ltd,9000697416,"Ł37,736.00",Wastnet software cost,SP10 9AH,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Grant-in Aid Payments,Policy Delivery DG,Environment Agency,EACPFGIAAPR12,"Ł39,936,000.00",Environment Agency Closed Pension Fund,BS32 4UD,,exempt,00000000,Expense,
DEFRA,Core Defra,17/04/2012,Other Current Payments (GB),Policy Delivery DG,Dept For Communities & Local Gov,120412,"Ł250,000.00",London Support Grant Services for 2010/11,HP2 4XN,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Grant-in Aid Payments,Policy Delivery DG,Marine Management Organisation,300312,"Ł8,900,000.00",Grant in Aid payments to Marine Management Organisation,NE4 7YH,,Exempt,00000000,Expense,
DEFRA,Core Defra,13/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A B P Marine Environmental Res Ltd,R4067B04CEB,"Ł97,588.00",In-Depth review of Evidence Supporting The Recommended Marine conservation Zones -11/12,SO14 2AQ,SME,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,NERC Proudman Oceanographic Laboratory,7060002506,"Ł350,000.00",Investigating the feasibility of utilizing AUV and Gilder technology for mapping and monitoring of the UK Marine Protected Area/Marine Conservation Zone network -11/12,SN2 1FF,,exempt,00000000,Expense,
DEFRA,Core Defra,05/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Plymouth,6035804,"Ł25,000.00",Recovery of Benthic Species & Socio-economic changes 11/12,PL4 8AA,,exempt- R&D,00000000,Expense,
DEFRA,Core Defra,17/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8001940,"Ł3,853,524.60",Defra Research and Development Data Collection Programme 2011/12 for recommended Marine Coastal Zones ,NR33 0HT,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Evidence Non R&D,Policy Delivery DG,C E F A S,8001909,"Ł179,980.00",Cefas High Level Agreement (HLA ) non Research and Development,NR33 0HT,,exempt,00000000,Expense,
DEFRA,Core Defra,05/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A B P Marine Environmental Res Ltd,4092,"Ł26,744.00",Accessing and developing the required biophysical datasets and datalayers for Marine Protected Areas network planning and wider marine spatial planning purposes,SO14 2AQ,SME,Exempt,00000000,Expense,
