UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT
MODGPC29622,04-Apr-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł3,684.24"
MODGPC29623,04-Apr-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł2,220.48"
MODGPC29624,05-Apr-12,Computer Equipment & Services      , COMPUTER MAINT/SVCS - DEF,"Ł3,387.60"
MODGPC29625,12-Apr-12,Computer Equipment & Services      , COMPUTER MAINT/SVCS - DEF,"Ł3,387.60"
MODGPC29626,12-Apr-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,Ł781.20
MODGPC29627,11-Apr-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,001.61"
MODGPC29628,05-Apr-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,202.89"
MODGPC29629,10-Apr-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł831.83
MODGPC29630,12-Apr-12,Financial Services                 , INSURANCE SALES/UNDERWRITE,Ł834.00
MODGPC29631,12-Apr-12,Financial Services                 , INSURANCE SALES/UNDERWRITE,"Ł1,007.36"
MODGPC29632,06-Apr-12,Freight and Storage                , MOTOR FREIGHT CARRIERS,"Ł2,813.82"
MODGPC29633,11-Apr-12,Freight and Storage                , MOTOR FREIGHT CARRIERS,Ł932.54
MODGPC29634,10-Apr-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł1,499.00"
MODGPC29635,02-Apr-12,General Retail and Wholesale       , SPORTING GOODS STORES,Ł576.00
MODGPC29636,02-Apr-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł1,618.80"
MODGPC29637,12-Apr-12,General Retail and Wholesale       , DISCOUNT STORES,Ł768.24
MODGPC29638,04-Apr-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł2,923.20"
MODGPC29639,03-Apr-12,General Retail and Wholesale       , SHOE STORES,Ł642.83
MODGPC29640,12-Apr-12,General Retail and Wholesale       , SHOE STORES,Ł670.51
MODGPC29641,12-Apr-12,General Retail and Wholesale       , SHOE STORES,"Ł3,052.37"
MODGPC29642,05-Apr-12,General Retail and Wholesale       , SHOE STORES,Ł751.45
MODGPC29643,12-Apr-12,General Retail and Wholesale       , SHOE STORES,"Ł1,033.29"
MODGPC29644,12-Apr-12,General Retail and Wholesale       , SHOE STORES,"Ł2,400.30"
MODGPC29645,02-Apr-12,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,Ł600.00
MODGPC29646,04-Apr-12,General Retail and Wholesale       , USED MERCHANDISE STORES,Ł562.37
MODGPC29647,11-Apr-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł1,429.70"
MODGPC29648,12-Apr-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"Ł1,125.60"
MODGPC29649,10-Apr-12,General Retail and Wholesale       , SPORTING GOODS STORES,Ł981.60
MODGPC29650,12-Apr-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,Ł594.00
MODGPC29651,12-Apr-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,Ł540.00
MODGPC29652,10-Apr-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,Ł806.04
MODGPC29653,05-Apr-12,General Retail and Wholesale       , BICYCLE SHOPS/SALES/SERVICE,Ł515.05
MODGPC29654,05-Apr-12,General Retail and Wholesale       , VARIETY STORES,"Ł1,095.70"
MODGPC29655,03-Apr-12,General Retail and Wholesale       , BICYCLE SHOPS/SALES/SERVICE,"Ł12,528.80"
MODGPC29656,11-Apr-12,General Retail and Wholesale       , LUGGAGE/LEATHER STORES,"Ł1,146.00"
MODGPC29657,11-Apr-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł636.00
MODGPC29658,02-Apr-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł2,121.06"
MODGPC29659,02-Apr-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł3,370.80"
MODGPC29660,10-Apr-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,536.00"
MODGPC29661,10-Apr-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł4,509.96"
MODGPC29662,02-Apr-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł833.02
MODGPC29663,02-Apr-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł850.80
MODGPC29664,12-Apr-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,152.00"
MODGPC29665,03-Apr-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"Ł2,062.50"
MODGPC29666,02-Apr-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,Ł588.00
MODGPC29667,11-Apr-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"Ł2,233.20"
MODGPC29668,11-Apr-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"Ł4,974.25"
MODGPC29669,05-Apr-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"Ł4,713.00"
MODGPC29670,11-Apr-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"Ł4,304.50"
MODGPC29671,11-Apr-12,General Retail and Wholesale       , FLOOR COVERING STORES,"Ł1,200.00"
MODGPC29672,02-Apr-12,General Retail and Wholesale       , ELECTRONICS STORES,"Ł3,226.92"
MODGPC29673,12-Apr-12,General Retail and Wholesale       , ELECTRONICS STORES,"Ł1,127.91"
MODGPC29674,03-Apr-12,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,Ł512.00
MODGPC29675,05-Apr-12,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,"Ł1,107.34"
MODGPC29676,03-Apr-12,General Retail and Wholesale       , SMALL APPLIANCE REPAIR DEF,"Ł5,638.92"
MODGPC29677,04-Apr-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"Ł5,000.00"
MODGPC29678,04-Apr-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,Ł670.00
MODGPC29679,11-Apr-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł4,006.80"
MODGPC29680,10-Apr-12,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,"Ł1,500.00"
MODGPC29681,11-Apr-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł1,180.00"
