Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Council of Reserve Forces and Cadets Association,18/06/2015,Assets in the Course of Construction,Capital Expenditure,Woodhouse Barry Ltd,YO60 6RZ,14559,Assets in the Course of Construction,"Ł36,686.18"
Ministry of Defence,Ministry of Defence,22/06/2015,Fuel for military use,Land Forces,WFL (UK) LIMITED,SN15 5DN,25933,Cost of ground diesel fuel consumed,"Ł36,637.12"
Ministry of Defence,Ministry of Defence,04/06/2015,Payment of utilities,Navy Command,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,18519,Utilities consumed - gas,"Ł36,618.38"
Ministry of Defence,Ministry of Defence,05/06/2015,Spend on Inventory - General,Defence Equipment + Support,COONEEN DEFENCE LIMITED,BT75 0NE,10196,Spend on Inventory - General,"Ł36,596.40"
Ministry of Defence,Ministry of Defence,04/06/2015,Spend on Inventory - General,Defence Equipment + Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,18440,Spend on Inventory - General,"Ł36,538.51"
Ministry of Defence,Ministry of Defence,29/06/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,28715,Utilities consumed - gas,"Ł36,425.70"
Ministry of Defence,Ministry of Defence,15/06/2015,Spend on Inventory - General,Defence Equipment + Support,HELMET INTEGRATED SYSTEMS LTD,SG6 2TU,22874,Spend on Inventory - General,"Ł36,379.03"
Ministry of Defence,Ministry of Defence,03/06/2015,Fuel for military use,HO+CS,ALLSTAR BUSINESS SOLUTIONS LTD,SN5 6PS,17910,Cost of ground diesel fuel consumed,"Ł36,352.36"
Ministry of Defence,Ministry of Defence,26/06/2015,Medical treatment & stores and welfare services,JFC,DR P TAYLOR AND PARTNERS,BS15 3HY,28160,Medical health services,"Ł36,243.51"
Ministry of Defence,Ministry of Defence,19/06/2015,Spend on Inventory - General,Defence Equipment + Support,TVS SUPPLY CHAIN SOLUTIONS LIMITED,PR6 7AJ,25380,Spend on Inventory - General,"Ł36,241.90"
Ministry of Defence,Ministry of Defence,16/06/2015,Fees for professional services,JFC,CGI IT UK LIMITED,CF31 9AP,23519,"Advice and guidance on how to produce the product, but not production of the product itself.","Ł36,205.66"
Ministry of Defence,Ministry of Defence,11/06/2015,Design services and minor equipment purchases,Land Forces,WINGGLIDER LIMITED,LS19 6JT,21306,Equipment support project costs,"Ł36,185.00"
Ministry of Defence,Ministry of Defence,08/06/2015,Spend on Inventory - General,Defence Equipment + Support,TVS SUPPLY CHAIN SOLUTIONS LIMITED,PR6 7AJ,19954,Spend on Inventory - General,"Ł36,172.95"
Ministry of Defence,Ministry of Defence,17/06/2015,International contributions,HO+CS,THE NATURAL HISTORY MUSEUM TRADING COMPANY LIMITED,SW7 5BD,186146,Defence military assistance fund international subscriptions and other payments,"Ł36,142.80"
Ministry of Defence,Ministry of Defence,18/06/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV1 4HY,24509,Fiscal asset under construction - capital in year addition,"Ł36,121.50"
Ministry of Defence,Ministry of Defence,16/06/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,HCR LTD,RG21 7DT,23602,Rent land - non civil estate property + married quarter property,"Ł36,075.00"
Ministry of Defence,Council of Reserve Forces and Cadets Association,25/06/2015,Payments to Welfare Assoc,Estates Management,Yeomans Projects Ltd,OL12 6HD,2478,Payments to Welfare Assoc,"Ł36,000.00"
Ministry of Defence,Ministry of Defence,19/06/2015,Fuel for military use,Air Command,HARVEST ENERGY LIMITED,W1H 7JT,25143,Cost of ground diesel fuel consumed,"Ł35,997.58"
Ministry of Defence,Ministry of Defence,18/06/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,B70 1DA,24649,Works - estate management,"Ł35,920.63"
Ministry of Defence,Ministry of Defence,05/06/2015,Design services and minor equipment purchases,Navy Command,DENBRIDGE MARINE LIMITED,CH41 5LH,19043,Equipment support non-project costs,"Ł35,916.00"
Ministry of Defence,Ministry of Defence,02/06/2015,IT and communication services,JFC,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,17404,Information technology services,"Ł35,912.41"
Ministry of Defence,Ministry of Defence,23/06/2015,"Transportation of personnel, freight and travel expenses",Land Forces,METCALFE FARMS (HAULAGE) LIMITED,DL8 5JZ,26169,Freight movement costs,"Ł35,843.98"
Ministry of Defence,Ministry of Defence,15/06/2015,"Adminstration, claims, compensation and awards",DEFENCE INFRASTRUCTURE ORGANISATION,RAMBOLL UK LIMITED,SE1 8NW,23191,Cost of claims/compensation and related expenses against MOD,"Ł35,843.50"
Ministry of Defence,Ministry of Defence,05/06/2015,Fuel for military use,Air Command,HARVEST ENERGY LIMITED,W1H 7JT,19104,Cost of ground diesel fuel consumed,"Ł35,778.86"
Ministry of Defence,Ministry of Defence,02/06/2015,Medical treatment & stores and welfare services,Land Forces,KIWI PRIMARY SCHOOL,SP4 9JY,17441,Schools + community relations initiatives,"Ł35,750.00"
