UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC64496,10-Jul-13,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,543.5,64496
MODGPC64497,10-Jul-13,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"3,975.50",64497
MODGPC64498,11-Jul-13,General Retail and Wholesale       , ELECTRONICS STORES,882.72,64498
MODGPC64499,11-Jul-13,General Retail and Wholesale       , ELECTRONICS STORES,"1,634.40",64499
MODGPC64500,11-Jul-13,General Retail and Wholesale       , ELECTRONICS STORES,646.94,64500
MODGPC64501,04-Jul-13,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,819.5,64501
MODGPC64502,04-Jul-13,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"2,240.00",64502
MODGPC64503,10-Jul-13,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"3,546.60",64503
MODGPC64504,10-Jul-13,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"5,976.80",64504
MODGPC64505,03-Jul-13,General Retail and Wholesale       , MUSIC STORES/PIANOS,954.2,64505
MODGPC64506,08-Jul-13,General Retail and Wholesale       , HARDWARE STORES,"1,360.17",64506
MODGPC64507,08-Jul-13,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,677,64507
MODGPC64508,05-Jul-13,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,"2,042.00",64508
MODGPC64509,05-Jul-13,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,751.3,64509
MODGPC64510,05-Jul-13,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,541,64510
MODGPC64511,08-Jul-13,General Retail and Wholesale       , SHOE REPAIR/SHINE/HAT CLEAN,500.28,64511
MODGPC64512,02-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"29,428.08",64512
MODGPC64513,08-Jul-13,General Retail and Wholesale       , SPORTING GOODS STORES,508.8,64513
MODGPC64514,03-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,595.99",64514
MODGPC64515,08-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"4,264.65",64515
MODGPC64516,08-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,587.68",64516
MODGPC64517,02-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,141.32",64517
MODGPC64518,10-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,267.06",64518
MODGPC64519,02-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,542.4,64519
MODGPC64520,11-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,440.00",64520
MODGPC64521,03-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,178.38",64521
MODGPC64522,05-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,255.29",64522
MODGPC64523,08-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,634.44,64523
MODGPC64524,02-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"4,702.32",64524
MODGPC64525,11-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,659.59,64525
MODGPC64526,02-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,690.42,64526
MODGPC64527,08-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,807.91,64527
MODGPC64528,08-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,511.57,64528
MODGPC64529,08-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,144.52",64529
MODGPC64530,08-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"2,588.28",64530
MODGPC64531,08-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"2,289.04",64531
MODGPC64532,03-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,953.52,64532
MODGPC64533,03-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"4,795.96",64533
MODGPC64534,03-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"3,011.52",64534
MODGPC64535,03-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,977.12",64535
MODGPC64536,01-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"3,235.20",64536
MODGPC64537,04-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,623.56,64537
MODGPC64538,02-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,482.00",64538
MODGPC64539,08-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,750.4,64539
MODGPC64540,08-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,482.00",64540
