Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier tab final,Contract Number,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Service charge,DG: IGT,CABLE AND WIRELESS COMMUNICATION (VODAFONE),446135,"£20,980.24",Revenue: NHS Mail core contract 1 April 2014 - 30 June 2014,RG12 1RW,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Addition Clearing - SW LIC,DG: IGT,CSC COMPUTER SCIENCES LTD,5201377344,"£93,783.68",Capital: CSC - GPSoC -Charges for the period commencing 1/04/14 - 30/09/14. Software Licence charges. GPSoC module charges. Data migration charges,PR1 8UQ,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Service charge,DG: IGT,CSC COMPUTER SCIENCES LTD,5201377344,£446.77,Revenue: CSC - GPSoC -Charges for the period commencing 1/04/14 - 30/09/14. Hosting Charges - Scanning Charges,PR1 8UQ,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,CARERS UK,ERS-524487-91961,"£45,333.33",SPP002 - Carers UK - SPP 2014-15 July Payment,SE1 4LX,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL COUNCIL FOR VOLUNTARY YOUTH SERVICES,ERS-524488-91981,"£45,333.33",SPP006 - NATIONAL COUNCIL FOR VOLUNTARY YOUTH SERVICES - SPP 2014-15 July Payment,N1 6DZ,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,AGE UK,ERS-524489-92001,"£45,333.33",SPP007 - AGE UK - SPP 2014-15 July Payment,SW16 4ER,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41856,Revenue Grants to non-profit institutions,DG: SCLGCP,RACE EQUALITY FOUNDATION,ERS-524490-92021,45333.33,SPP008 - RACE EQUALITY FOUNDATION - SPP 2014-15 July Payment,NW5 1LB,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,MENTAL HEALTH PROVIDERS FORUM,ERS-524491-92041,"£45,333.33",SPP013 - THE MENTAL HEALTH PROVIDERS FORUM - SPP 2014-15 July Payment,EC1V 9BE,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL ASSOCIATION OF VOLUNTARY AND COMMUNITY ACTION,ERS-524492-92061,"£45,333.33",SPP019 - NAVCA - SPP 2014-15 July Payment,S1 4QL,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE LESBIAN AND GAY FOUNDATION,ERS-524493-92081,"£47,000.00",SPP014 - THE LESBIAN & GAY FOUNDATION - SPP 2014-15 July Payment,M1 3HF,,Other,Voluntary,,,,,,,,,,,,,,,,
