Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SHROPSHIRE COUNTY PCT,PUBLIC,SY3 8XL,HAFS-15456,"41,370,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOLIHULL PCT,PUBLIC,B91 3EF,HAFS-15457,"32,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOMERSET PCT,PUBLIC,WF3 1WE,HAFS-15458,"76,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH BIRMINGHAM PCT,PUBLIC,B7 4WS,HAFS-15459,"67,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH CENTRAL SHA,PUBLIC,WF3 1WE,HAFS-15460,"31,509,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH EAST COAST SHA,PUBLIC,RH6 7DE,HAFS-15461,"23,590,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH EAST ESSEX PCT,PUBLIC,SS2 6HE,HAFS-15462,"55,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH GLOUCESTERSHIRE PCT,PUBLIC,BS1 2NP,HAFS-15463,"32,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH STAFFORDSHIRE PCT,PUBLIC,WS15 1UL,HAFS-15464,"68,139,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH TYNESIDE PCT,PUBLIC,NE33 3DP,HAFS-15465,"36,700,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH WEST ESSEX PCT,PUBLIC,SS14 3HG,HAFS-15466,"55,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH WEST SHA,PUBLIC,WF3 1WE,HAFS-15467,"35,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTHAMPTON CITY PCT,PUBLIC,SO30 3JB,HAFS-15468,"40,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTHWARK PCT,PUBLIC,SE1 7NT,HAFS-15469,"54,200,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOCKPORT PCT,PUBLIC,SK7 5BY,HAFS-15470,"35,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOCKTON-ON-TEES TEACHING PCT,PUBLIC,TS17 6SF,HAFS-15471,"38,116,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOKE ON TRENT PCT,PUBLIC,ST4 4LX,HAFS-15472,"38,953,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUFFOLK PCT,PUBLIC,IP3 8LS,HAFS-15473,"85,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUNDERLAND TEACHING PCT,PUBLIC,NE37 1PR,HAFS-15474,"60,400,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SURREY PCT,PUBLIC,KT16 0QA,HAFS-15475,"173,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUTTON AND MERTON PCT,PUBLIC,WF3 1WE,HAFS-15476,"54,500,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SWINDON PCT,PUBLIC,SN10 5EQ,HAFS-15477,"25,500,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TAMESIDE AND GLOSSOP PCT,PUBLIC,M34 2GP,HAFS-15478,"34,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TELFORD & WREKIN PCT,PUBLIC,SY3 8XL,HAFS-15479,"20,557,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TORBAY PCT,PUBLIC,TQ9 6JE,HAFS-15480,"15,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TOWER HAMLETS PCT,PUBLIC,E1 1RD,HAFS-15481,"66,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TRAFFORD PCT,PUBLIC,M16 0PQ,HAFS-15482,"28,385,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WAKEFIELD DISTRICT PCT,PUBLIC,WF3 1WE,HAFS-15483,"49,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WALSALL TEACHING PCT,PUBLIC,WS4 2BX,HAFS-15484,"35,315,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WALTHAM FOREST PCT,PUBLIC,WF3 1WE,HAFS-15485,"40,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WANDSWORTH TEACHING PCT,PUBLIC,WF3 1WE,HAFS-15486,"53,500,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WARRINGTON PCT,PUBLIC,WF3 1WE,HAFS-15487,"27,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WARWICKSHIRE PCT,PUBLIC,CV34 4DE,HAFS-15488,"85,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST ESSEX PCT,PUBLIC,CM16 6TN,HAFS-15489,"20,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST KENT PCT,PUBLIC,ME20 7NJ,HAFS-15490,"60,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST MIDLANDS SHA,PUBLIC,B16 9RG,HAFS-15491,"28,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST SUSSEX PCT,PUBLIC,WF3 1WE,HAFS-15492,"97,100,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WESTERN CHESHIRE PCT,PUBLIC,CH2 1HU,HAFS-15493,"25,603,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WESTMINSTER PCT,PUBLIC,BS1 2NP,HAFS-15494,"90,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WILTSHIRE PCT,PUBLIC,SN10 5EQ,HAFS-15495,"54,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WIRRAL PCT,PUBLIC,CH42 0LQ,HAFS-15496,"54,433,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WOLVERHAMPTON CITY PCT,PUBLIC,WV3 0UD,HAFS-15497,"42,400,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WORCESTERSHIRE PCT,PUBLIC,WR4 9RW,HAFS-15498,"58,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,YORKSHIRE & THE HUMBER SHA,PUBLIC,LS1 4PL,HAFS-15499,"86,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,External Consultancy Fees,Informatics,TAUNTON & SOMERSET NHS FOUNDATION TRUST,,,16195426,"25,600.00",,,
Department of Health,Department of Health,01/03/2013,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00269360RI,"-3,498.00","CQC Buildings - Fixed Costs from Apr 2012 - Mar 2013 - Building Maintenance @£31,875.08 mthly",Admin,
Department of Health,Department of Health,01/03/2013,Facilities management: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00269360RI,"3,498.00","CQC Buildings - Fixed Costs from Apr 2012 - Mar 2013 - Facilities Management @£3,497.75 mthly",Admin,
Department of Health,Department of Health,01/03/2013,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00269362RI,"8,785.00","Maple Street - Fixed Building Maintenance Costs from 01/04/12 - 31/03/2013 @13,107.33 mthly",Admin,
Department of Health,Department of Health,01/03/2013,Cleaning: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00269362RI,"5,125.00","Maple Street - Fixed Cleaning Costs from 01/04/12 - 31/03/2013 @4,947.75 mthly",Admin,
Department of Health,Department of Health,01/03/2013,Facilities management: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00269362RI,"13,270.00","Maple Street - Fixed FM Costs from 01/04/12 - 31/03/2013 @11,209.92 mthly",Admin,
Department of Health,Department of Health,01/03/2013,Security: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00269362RI,"11,806.00","Maple Street - Fixed Security Costs from 01/04/12 - 31/03/2013 @16,487.50 mthly",Admin,
Department of Health,Department of Health,01/03/2013,Publicity & advertising,External Relations,LIVITY LTD,SME,SW9 8DJ,862,"53,681.00",Youth Marketing activity (Brand development and Peer-to-Peer activity) ERG approval number: ERG00411,Programme,
Department of Health,Department of Health,01/03/2013,Publicity & advertising,External Relations,SIMPLY BECAUSE LTD,LARGE,SL5 9FE,1597,"23,309.00",Bladder and Kidney cancer campaign - events -  event programme ,Programme,
Department of Health,Department of Health,01/03/2013,Publicity & advertising,External Relations,SIMPLY BECAUSE LTD,LARGE,SL5 9FE,1598,"48,461.00",Breast cancer campaign - events -  event programme ,Programme,
Department of Health,Department of Health,01/03/2013,Publicity & advertising,External Relations,SIMPLY BECAUSE LTD,LARGE,SL5 9FE,1598,1.00,,Programme,
Department of Health,Department of Health,01/03/2013,Consultancy/Professional Advice,Strategy Finance & NHS,DELOITTE LLP,LARGE,MK9 1FD,1110896533,"65,862.00","Project Verdi - Financial advisory services - Stage 2 Post -OJEU remaining budget,",Programme,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,Public Health,MULTI RESOURCE MARKETING LTD,SME,LE16 9NR,124887,"57,944.00",MRM Ltd - For the services provided on the Healthy Start Reimbursement Unit - January 2013 estimate,Admin,
Department of Health,Department of Health,01/03/2013,Research & development,Research & Development,RAND EUROPE CIC,SME,CB4 1YG,13120/I0073-34,"32,076.00",PROJECTS,Programme,
Department of Health,Department of Health,01/03/2013,IT minor costs non capital,Goverance Operations & Assurance,LEARNING NEXUS LTD,SME,SW15 4LB,24332,"43,114.00",E-learning licence renewal 2,Admin,
Department of Health,Department of Health,01/03/2013,Consultancy/Professional Advice,Public Health,SAPIENT LTD,LARGE,E14 9GE,26633,"36,768.00",INVOICE FOR IT SERVICES,Admin,
Department of Health,Department of Health,01/03/2013,Consultancy/Professional Advice,Public Health,SAPIENT LTD,LARGE,E14 9GE,26911,"29,430.00",INVOICE FOR IT SERVICES,Admin,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,Public Health,SAPIENT LTD,LARGE,E1 6DU,27124,"97,030.00",EESSI software design and related services Sapient costs,Programme,
Department of Health,Department of Health,01/03/2013,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,3227001-07-MAR-13,"61,136.00",,Other,
Department of Health,Department of Health,01/03/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,881296,0.00,Be Food Smart TV Activity 7th Jan 13 - 3rd Feb 13,Programme,
Department of Health,Department of Health,01/03/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,881296,0.00,,Programme,
Department of Health,Department of Health,01/03/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,884138,0.00,TV advertising for January Health Harms campaign,Programme,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,External Relations,MOUCHEL MANAGEMENT CONSULTING LTD,LARGE,SW1H 9NP,90126937,"66,515.00",CS/2011/01 Horizon Scanning,Programme,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,Improvement & Efficency,CAPITA BUSINESS SERVICES LTD,LARGE,SW1H 0XA,92811155,0.00,Delivery of scheme operation of The Information Standard,Programme,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,Improvement & Efficency,CAPITA BUSINESS SERVICES LTD,LARGE,SW1H 0XA,92845842,0.00,Delivery of scheme operation of The Information Standard,Programme,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,Improvement & Efficency,CAPITA BUSINESS SERVICES LTD,LARGE,SW1H 0XA,92845843,0.00,Delivery of scheme operation of The Information Standard,Programme,
Department of Health,Department of Health,01/03/2013,Other creditors (ST),Improvement & Efficency,CAPITA BUSINESS SERVICES LTD,LARGE,SW1H 0XA,92860492,"165,000.00",Support for scheme applicants for cerification costs,Programme,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,Improvement & Efficency,CAPITA BUSINESS SERVICES LTD,LARGE,SW1H 0XA,92860492,0.00,Delivery of scheme operation of The Information Standard,Programme,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,Social Care,ECORYS UK LTD,SME,B1 2RA,INV11003,"92,790.00",Fund Management of the Health & Social Care Volunteering Fund,Programme,
Department of Health,Department of Health,01/03/2013,External Consultancy Fees,Informatics,BJSS LTD,,,16260665,"249,703.00",,,
Department of Health,Department of Health,01/03/2013,Storage costs,Strategy Finance & NHS,SANOFI AVENTIS,LARGE,,4700000032,"3,258.00",,,
Department of Health,Department of Health,01/03/2013,Storage costs,Strategy Finance & NHS,SANOFI AVENTIS,LARGE,,4700000032,"147,541.00",,,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,Public Health,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,10094106,"37,917.00",Toxicological services to the Tobacco Programme for period covering 2012/13 to 2014/15,Programme,13568
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,HAFS-15392,"8,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,Policy Payments,Strategy Finance & NHS,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT (DCLG),PUBLIC,SW1E 5DU,PFI SPECIAL GRANT4,"5,292,017.00",DCLG payments in respect of LA social care PFI,Programme,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,Social Care,HAMMERSMITH AND FULHAM LONDON BOROUGH COUNCIL,PUBLIC,W6 9JT,S071074/711448,"45,000.00",MCA DOLs Project - Deprivation of Liberty Guidance,Programme,
Department of Health,Department of Health,01/03/2013,Professional fees,External Relations,GOVERNMENT ACTUARYS DEPARTMENT (GAD),PUBLIC,EC4A 1AB,SINV/00018428,"92,073.00",CPA 472305 Actuarial services for period ending 31st January,Admin,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,Public Health,FAMILY PLANNING ASSOCIATION,VCS,EC1Y 8QU,586279,"145,685.00",Specialist sexual health information services - New contract from 2012/13 ,Programme,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,Improvement & Efficency,POHWER,VCS,SG1 5DZ,SINV1401,"341,693.00",The extension of the current ICAS contract for the provision of independent advocacy by POhWER,Programme,
Department of Health,Department of Health,01/03/2013,Outsourcing Contract,Improvement & Efficency,POHWER,VCS,SG1 5DZ,SINV1401,"13,016.00",Advocacy Provision by POhWER,Programme,
Department of Health,Department of Health,02/03/2013,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,3227001-07-MAR-13,28.00,,Other,
Department of Health,Department of Health,03/03/2013,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,3227001-07-MAR-13,516.00,,Other,
Department of Health,Department of Health,04/03/2013,Policy Payments,Social Care,ISLINGTON PCT,PUBLIC,EC1V 7LQ,5300394,"56,201.00",HNS Islington - patient care recharge CJD funding,Programme,
Department of Health,Department of Health,04/03/2013,Raw materials & consumables,Social Care,PORTSMOUTH HOSPITAL NHS TRUST,PUBLIC,PO6 3LY,9240085,"36,259.00",Portmouth Hospitals Trust NHS - Invoice No: 9240085 Procurement Services Prosthetics,Programme,
Department of Health,Department of Health,04/03/2013,Revenue Grants to non-profit institutions,Public Health,NHS CONFEDERATION,PUBLIC,LS10 1JR,ERS-486984-70521,"50,000.00",2012/069  NHS Confederation - project: NHS 2012 Legacy programme for physical activity and sport - policy grant,Programme,
Department of Health,Department of Health,04/03/2013,Additions FT Financing Facility Loans,CENTRAL TECHNICAL,OXFORD HEALTH NHS FOUNDATION TRUST,PUBLIC,OX4 4XN,HAFS-15500,"5,000,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions FT Financing Facility Loans,CENTRAL TECHNICAL,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,HAFS-15501,"2,000,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,HU16 5JQ,HAFS-15502,"120,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,HP7 0JD,HAFS-15503,"995,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,EALING HOSPITAL NHS TRUST,PUBLIC,UB1 3HWP,HAFS-15504,"301,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,PUBLIC,SN3 6BB,HAFS-15505,"400,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,HAFS-15506,"800,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,RG24 9NA,HAFS-15507,"50,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CW1 4QJ,HAFS-15508,"900,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,PUBLIC,NN1 5BD,HAFS-15509,"480,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PE3 6DA,HAFS-15510,"18,514,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,ROYAL CORNWALL HOSPITAL NHS TRUST,PUBLIC,TR1 2XN,HAFS-15511,"1,200,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,SALISBURY NHS FOUNDATION TRUST,PUBLIC,SP2 8BJ,HAFS-15512,"325,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,PUBLIC,TF6 6TF,HAFS-15513,"1,290,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,SOUTH WEST LONDON AND ST GEORGES MENTAL HEALTH NHS TRUST,PUBLIC,SW17 7DJ,HAFS-15514,"90,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,THE DUDLEY GROUP NHS FOUNDATION TRUST,PUBLIC,DY8 5QX,HAFS-15515,"41,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,THE ROTHERHAM NHS FOUNDATION TRUST,PUBLIC,S60 2UN,HAFS-15516,"299,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Additions-PDC permanent,CENTRAL TECHNICAL,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,PUBLIC,YO30 4RY,HAFS-15517,"417,000.00",,Other,
Department of Health,Department of Health,04/03/2013,Outsourcing Contract,Strategy Finance & NHS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,LARGE,NG17 2HU,1060022463,0.00,Clinical services under E16 Renal contract,Programme,
Department of Health,Department of Health,04/03/2013,Outsourcing Contract,Strategy Finance & NHS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,LARGE,NG17 2HU,1060022463,"1,125,439.00",Clinical services under E16 Renal contract,Programme,
Department of Health,Department of Health,04/03/2013,Outsourcing Contract,External Relations,NHS EMPLOYERS LTD,SME,SW1E 5DD,11141,"62,920.00",Project management of the collation of NHS learing and experience for use in the Public Sector Equality Duty Review - NHS Contribution,Admin,
Department of Health,Department of Health,04/03/2013,Outsourcing Contract,Strategy Finance & NHS,CARE UK CLINICAL SERVICES LTD,LARGE,RG19 3XG,120007209,"2,142,478.00",Clinical services under E08 MCATS contract,Programme,
Department of Health,Department of Health,04/03/2013,Outsourcing Contract,Strategy Finance & NHS,CARE UK CLINICAL SERVICES LTD,LARGE,RG19 3XG,120007277,"2,260,716.00",Clinical services under E09 HIoW Hampshire Isle of Wight contract,Programme,
Department of Health,Department of Health,04/03/2013,Printing,External Relations,THE LEAFLET CO LTD,LARGE,EC4A 3EP,248721,"33,517.00",NHS 111 SHIP door drop 2013,Programme,
