Department,Entity,Date,Transaction Number,GBP Amount,Supplier ,Account Description
FCO,FCO,08-May-13,4279067,256.85,ISS FACILITY SERVICES LTD FCO OP,Repair and maintenance of furniture and fittings
FCO,FCO,08-May-13,4279067,"3,694.84",ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,"1,662.65",ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,"1,017.57",ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,"9,049.57",ISS FACILITY SERVICES LTD FCO OP,Unscheduled repairs to building infrastructure
FCO,FCO,08-May-13,4279067,128.42,ISS FACILITY SERVICES LTD FCO OP,Residential Property Services
FCO,FCO,08-May-13,4279067,"2,729.23",ISS FACILITY SERVICES LTD FCO OP,Reception Services
FCO,FCO,08-May-13,4279067,"5,745.75",ISS FACILITY SERVICES LTD FCO OP,Grounds Maintenance
FCO,FCO,08-May-13,4279067,"17,884.89",ISS FACILITY SERVICES LTD FCO OP,Building Mechanical and Engineering Services
FCO,FCO,08-May-13,4279067,"1,007.76",ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,70.14,ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,18.77,ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,37.55,ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,14.19,ISS FACILITY SERVICES LTD FCO OP,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,08-May-13,4279067,"2,049.05",ISS FACILITY SERVICES LTD FCO OP,Manned Guarding Services
FCO,FCO,08-May-13,4279067,566.53,ISS FACILITY SERVICES LTD FCO OP,Cleaning & Waste
FCO,FCO,08-May-13,4279067,149.3,ISS FACILITY SERVICES LTD FCO OP,Office Support Services
FCO,FCO,08-May-13,4279067,12.84,ISS FACILITY SERVICES LTD FCO OP,Repair and maintenance of furniture and fittings
FCO,FCO,08-May-13,4279067,184.74,ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,83.13,ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,50.88,ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,452.48,ISS FACILITY SERVICES LTD FCO OP,Unscheduled repairs to building infrastructure
FCO,FCO,08-May-13,4279067,6.42,ISS FACILITY SERVICES LTD FCO OP,Residential Property Services
FCO,FCO,08-May-13,4279067,136.46,ISS FACILITY SERVICES LTD FCO OP,Reception Services
FCO,FCO,08-May-13,4279067,287.29,ISS FACILITY SERVICES LTD FCO OP,Grounds Maintenance
