Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,Core Defra,11/06/2013,Current Grants UK,Policy Delivery DG,Keep Britain Tidy,107613,"£172,500.00",Keep Britain Tidy Grant - June 2013,WN3 4EX,SME,16247,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,National Physical Laboratory,116556,"£27,766.10",Airborne particulate concentrations and numbers in the UK - June 2013,TW11 0LW,SME,Exempt,AQRDXXXX,Expense,,
DEFRA,Core Defra,21/06/2013,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6152478,"£26,423.00",Baseline measurements of UK Stratospheric Ozone and Spectral UV (ultraviolet) - May 2013 payment,OX11 0QR,,Exempt,AQNONRDX,Expense,,
DEFRA,Core Defra,07/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6152474,"£26,420.00",UK Eutrophying and Acidfying Atmospheric Pollutants - May 2013 payment,OX11 0QR,,Exempt,AQRDXXXX,Expense,,
DEFRA,Core Defra,25/06/2013,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6152442,"£76,904.00",Quality services for Automatic Urban and Rural Network - May 2013 payment,OX11 0QR,,Exempt,AQNONRDX,Expense,,
DEFRA,Core Defra,21/06/2013,Evidence Non R&D,Policy Delivery DG,National Physical Laboratory,115855,"£25,089.75",Heavy metal monitoring - March 2013,TW11 0LW,SME,14769,AQNONRDX,Expense,,
DEFRA,Core Defra,21/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6152471,"£73,153.00",UK Ambient Air Quality Assessments - May 2013 payment,OX11 0QR,,exempt,AQRDXXXX,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6152489,"£113,907.00",UK National Atmospheric Emissions Inventory - May 2013 payment,OX11 0QR,,Exempt,AQRDXXXX,Expense,,
DEFRA,Core Defra,21/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6152469,"£73,153.00",UK Ambient Air Quality Assessments - April 2013 payment,OX11 0QR,,exempt,AQRDXXXX,Expense,,
DEFRA,Core Defra,11/06/2013,Evidence Non R&D,Policy Delivery DG,National Physical Laboratory,115496,"£38,586.75",Heavy Metal Monitoring - February 2013,TW11 0LW,SME,,AQNONRDX,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Centre For Ecology & Hydrology,ERS-520170-44572,"£30,868.82",Operation of the UK Eutrophying and Acidifying Atmospheric Pollutants (UKEAP) - June 2013 payment,SN2 1EU,SME,Exempt,AQRDXXXX,Expense,,
DEFRA,Core Defra,25/06/2013,Evidence Non R&D,Policy Delivery DG,C E F A S,8002948,"£1,802,196.25",Cefas High-Level Agreement payment - June 2013,NR33 0HT,SME,IDS,00000000,Expense,,
DEFRA,Core Defra,07/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6152451,"£50,983.50",UK National Atmospheric Emissions Inventory - June 2013 payment,OX11 0QR,,Exempt,AQRDXXXX,Expense,,
DEFRA,Core Defra,27/06/2013,Evidence Non R&D,Policy Delivery DG,Sinclair Knight Merz (Europe) Ltd,JW02908,"£30,133.32",WasteDataFlow administration and management - June 2013,M5 3NN,,13908/3,00000000,Expense,,
DEFRA,Core Defra,21/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,WRc plc,1706134245780,"£35,381.50",Investigating Volatile Organic Compounds defining the risks to drinking water in England and Wales - June 2013 payment,SN5 8YF,SME,WT1286 exempt,00000000,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,UK Water Industry Research Ltd,S488,"£32,890.00",2013-14 Fee for access to Toxicity Datasheets and Microsheets.,SW1H 9BT,SME,Exempt,00000000,Expense,,
DEFRA,Core Defra,11/06/2013,Evidence Non R&D,Policy Delivery DG,Food & Environment Research Agency,F0030083,"£372,224.00",Plant Health Evidence Memorandum of Understanding - June 2013 payment,YO41 1LZ,,Exempt,00000000,Expense,,
DEFRA,Core Defra,03/06/2013,Evidence Non R&D,Policy Delivery DG,C E F A S,8002894,"£133,333.33",Natural England High Level Agreement Partnership for Marine Conservation Zone - May 2013,NR33 0HT,SME,IGS,00000000,Expense,,
DEFRA,Core Defra,03/06/2013,Grant-in Aid Payments,Chief Operating Officer DG,Royal Botanic Gardens Kew,KEWGIA031314,"£3,000,000.00",Grant in Aid - June 2013 payment,TW9 3AB,,Exempt,00000000,Expense,,
DEFRA,Core Defra,19/06/2013,Training - Other External,Chief Operating Officer DG,Oxford Said Business School Limited,0000034710,"£30,000.00",Major Projects Leadership Academy,OX1 5NY,,20101,00000000,Expense,,
DEFRA,Core Defra,19/06/2013,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,058338,"£218,675.89",Travel Costs - June 2013,BD1 3AZ,SME,,00000000,Asset,,
DEFRA,Core Defra,11/06/2013,GPC Card,Central Finance Group,Barclaycard Business Issuing,4715320649042975050613,"£40,581.79",Payment of the monthly invoice for purchases on Government Procurement Cards - June 2013,TS17 6YG,SME,,00000000,Asset,,
DEFRA,Core Defra,25/06/2013,Mobile Phones,Central Finance Group,Vodafone Ltd,67703035,"£75,853.97",Payment of quarterly mobile telephone charges - May 2013,RG14 5FF,,,00000000,Asset,,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,Mendip Hills AONB,010513,"£57,342.84",Area of Outstanding Natural Beauty Grant - January-March 2013,TA1 4DY,,exempt,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,Cranborne Chase and West Wiltshire Downs AONB,220513,"£85,041.23",2012-13 Area of Outstanding Natural Beauty Grant - April 2012-March 2013 - second installment,BA14 8JN,,exempt,00000000,Expense,,
DEFRA,Core Defra,21/06/2013,Current Grants E,Policy Delivery DG,Forest of Bowland AONB,030513,"£83,371.18",2012-13 Area of Outstanding Natural Beauty Grant January-March 2013,PR1 0LD,,exempt,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,Chichester Harbour AONB,2401134001000,"£40,010.00",2012-13 Area of Outstanding Natural Beauty Grant January-March 2013,PO20 7AW,,exempt,00000000,Expense,,
DEFRA,Core Defra,27/06/2013,Current Grants E,Policy Delivery DG,Broads Authority,180613,"£886,861.00",2013-14 Grant payment - Quarter 2,NR1 1RY,SME,18568,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,Tamar Valley AONB,080513,"£65,869.17",2012-13 Area of Outstanding Natural Beauty Grant January-March 2013,TR1 3AY,,exempt,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,Cannock Chase AONB,080113,"£59,994.16",2012-13 Area of Outstanding Natural Beauty Grant January-March 2013,ST16 2DH,,exempt,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,Blackdown Hills AONB,310513,"£69,802.95",2012-13 Area of Outstanding Natural Beauty Grant - April 2012-March 2013 - second installment,EX2 4QJ,,exempt,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,Arnside and Silverdale AONB,150513,"£47,011.24",2012-13 Area of Outstanding Natural Beauty Grant January-March 2013,LA1 1PJ,,exempt,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,Malvern Hills AONB,090513,"£81,212.00",2012-13 Area of Outstanding Natural Beauty Grant January-March 2013,WR5 2NP,,exempt,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,East Devon AONB,140513,"£41,557.02",2012-13 Area of Outstanding Natural Beauty Grant January-March 2013,EX10 8HL,,exempt,00000000,Expense,,
DEFRA,Core Defra,13/06/2013,Current Grants E,Policy Delivery DG,Surrey Hills AONB,150513,"£50,063.25",2012-13 Area of Outstanding Natural Beauty Grant February-March 2013,KT1 2DN,,exempt,00000000,Expense,,
DEFRA,Core Defra,19/06/2013,Current Grants E,Policy Delivery DG,North Wessex Downs AONB,210513,"£88,998.36",2012-13 Area of Outstanding Natural Beauty Grant - April 2012-March 2013 - second installment,BA14 8JN,,exempt,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,Isle of Wight AONB,310513,"£65,393.00",2012-13 Area of Outstanding Natural Beauty Grant - April 2012-March 2013 - second installment,PO30 2QS,,exempt,00000000,Expense,,
