Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
01/06/2016,6785697,432212,CITY OF WESTMINSTER,Rates Taxes Non-Residential
29/06/2016,6997596,432212,CITY OF WESTMINSTER,Rates Taxes Non-Residential
14/06/2016,6875570,411985.21,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
01/06/2016,6785787,407634.03,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
15/06/2016,6884520,402021.7,INCOSTRAT,Programme Spend (Oracle Projects Control Account)
21/06/2016,6937546,400000,MARSHALL AID COMMERATION COMMISSION,Programme Spend (Oracle Projects Control Account)
01/06/2016,6619654,371680.5,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
27/06/2016,6971479,371680.5,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
08/06/2016,6835287,369256.02,TRANS NILE LTD,Rental Payments - residential
13/06/2016,6862515,367416,FCO SERVICES,Postal Services
20/06/2016,6918465,349361.66,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
30/06/2016,7010544,342574.15,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
28/06/2016,6989447,334103.92,COMPUTACENTER UK LTD,Licences
24/06/2016,6966460,324026.54,MAYDAY RESCUE,Programme Spend (Oracle Projects Control Account)
01/06/2016,6785770,311129.82,ANNA LINDH FOUNDATION,Programme Spend (Oracle Projects Control Account)
27/06/2016,6974424,309243.92,PLAZA TOWER LLC,Multiple Accounts
09/06/2016,6842461,304837.5,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
09/06/2016,6842480,300749.98,THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
27/06/2016,6971490,292059.87,THE SHAIKH GROUP,Programme Spend (Oracle Projects Control Account)
22/06/2016,6942494,282026.4,SHELL NIG CLOSED PENSION FUND ADMIN,Rental Payments - residential
07/06/2016,6823545,280951.41,INCOSTRAT,Programme Spend (Oracle Projects Control Account)
03/06/2016,6797664,280909.85,INCOSTRAT,Programme Spend (Oracle Projects Control Account)
23/06/2016,6954579,278194.38,DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account)
24/06/2016,6962536,277248.41,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
27/06/2016,6972541,272251.5,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
10/06/2016,6855576,262932.17,WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
01/06/2016,6778688,253858.61,WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
17/06/2016,6904695,249077.12,MORSON HUMAN RESOURCES LTD,Residential Property Services
13/06/2016,6861611,249000,INTERNATIONAL ALERT,Programme Spend (Oracle Projects Control Account)
13/06/2016,6861617,249000,INTERNATIONAL ALERT,Programme Spend (Oracle Projects Control Account)
08/06/2016,6834601,247392.6,DECC DEPARTMENT OF ENERGY AND CLIMATE CHANGE,Energy Saving Measures
20/06/2016,6914492,245744.14,INTERSERVE FM LTD,Multiple Accounts
09/06/2016,6844459,241718,TORCHLIGHT SOLUTIONS LTD,Programme Spend (Oracle Projects Control Account)
22/06/2016,6946547,241155.56,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
24/06/2016,6964697,227708,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
01/06/2016,6778568,226250.05,BARTON ENGINEERING AND EXPORT,Assets Under Construction (Oracle PA Control Account)
27/06/2016,6972533,224208.58,845 THIRD LP,Multiple Accounts
13/06/2016,6868438,217301.63,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
09/06/2016,6842503,215957,AEGIS DEFENCE SERVICES LTD,Multiple Accounts
09/06/2016,6842574,215957,AEGIS DEFENCE SERVICES LTD,Multiple Accounts
15/06/2016,6881577,214789.56,NELSON LUXEMBOURG PROPRTY DEVLOPMT,Rental Payments - non residential
15/06/2016,6885454,213980.92,LONDON ENERGY,Electricity Non-Residential
01/06/2016,6778433,213070.76,LONDON ENERGY,Electricity Non-Residential
30/06/2016,7010626,210807.44,UNOPS,Programme Spend (Oracle Projects Control Account)
09/06/2016,6843681,209990,ORGANISATION FOR ECONOMIC CO OPERATION AND DEVELOPMENT OECD,Programme Spend (Oracle Projects Control Account)
07/06/2016,6824863,205677.45,BARTON ENGINEERING AND EXPORT,Assets Under Construction (Oracle PA Control Account)
20/06/2016,6916436,202960.61,DEFENCE BUSINESS SERVICES FINANCE,Mod Guarding Services Residential
16/06/2016,6890476,201344.79,CHATHAM HOUSE,Programme Spend (Oracle Projects Control Account)
21/06/2016,6939488,193690.33,URSSAF,Multiple Accounts
06/06/2016,6807447,191053,CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
09/06/2016,6843975,191009.4,BIDWELLS,Rental Payments - non residential
15/06/2016,6881689,186652.61,PEACEFUL CHANGE INITIATIVE,Programme Spend (Oracle Projects Control Account)
30/06/2016,7009494,184890,CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
29/06/2016,7002473,180410.89,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
09/06/2016,6842831,180387.99,CAPGEMINI UK PLC,IT/IS Consultancy
30/06/2016,7009511,180000,CROWN ESTATE COMMIS CASH A C,Rental Payments - non residential
24/06/2016,6962540,177350.56,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
15/06/2016,6881524,170828.32,OVERSEAS SUPPLY SERVICES LTD,Estates Management Services
01/06/2016,6785457,167634,NI CO OPERATION OVERSEAS NI CO LTD,Programme Spend (Oracle Projects Control Account)
01/06/2016,6774425,166894.63,SHELL NIG CLOSED PENSION FUND ADMIN,Rental Payments - residential
28/06/2016,6989436,166311.86,TURNER AND TOWNSEND PROPERTY SERVICES,Assets Under Construction (Oracle PA Control Account)
27/06/2016,6972488,166177.4,COMPUTACENTER UK LTD,IT/IS Consultancy
28/06/2016,6988476,165938.5,COMPUTACENTER UK LTD,IT/IS Consultancy
29/06/2016,6997538,160082.82,M INTEGRATED SOLUTIONS,Inward visits to the UK and UK Conferences
24/06/2016,6962538,157243.01,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
