Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£72,048.00",HTA Researcher Lead,BR3 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£97,212.00",Programme Grants for NHS Trusts,BR3 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ERS-522643-90122,"£21,704.00",Research for Patient Benefit,TS4 3BW,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ERS-522643-90122,"£24,875.00",Research for Patient Benefit,TS4 3BW,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ERS-522643-90122,"£2,119.00",Research for Patient Benefit,TS4 3BW,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ST GEORGE'S HEALTHCARE NHS TRUST,ERS-522646-90101,"£23,089.00",Research for Patient Benefit,SW17 0QT,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ST GEORGE'S HEALTHCARE NHS TRUST,ERS-522646-90101,"£24,344.00",Research for Patient Benefit,SW17 0QT,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SUSSEX COMMUNITY NHS TRUST,ERS-522651-90090,"£14,226.00",Research for Patient Benefit,BN2 3EW,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SUSSEX COMMUNITY NHS TRUST,ERS-522651-90090,"£25,230.00",Research for Patient Benefit,BN2 3EW,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SUSSEX COMMUNITY NHS TRUST,ERS-522651-90090,"£29,188.00",Research for Patient Benefit,BN2 3EW,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,ERS-522652-90129,"£15,533.00",Research for Patient Benefit,BN13 3EP,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,ERS-522652-90129,"£14,485.00",Research for Patient Benefit,BN13 3EP,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE CHRISTIE NHS FOUNDATION TRUST,ERS-522656-90087,"£20,833.00",Experimental Cancer Medicine Centres,M20 4BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE CHRISTIE NHS FOUNDATION TRUST,ERS-522656-90087,"£18,241.00",Research for Patient Benefit,M20 4BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE CHRISTIE NHS FOUNDATION TRUST,ERS-522656-90087,"£13,043.00",Research for Patient Benefit,M20 4BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE CHRISTIE NHS FOUNDATION TRUST,ERS-522656-90087,"£18,762.00",Research for Patient Benefit,M20 4BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-522660-90118,"£19,737.00",Experimental Cancer Medicine Centres,NE7 7DN,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-522660-90118,"£23,402.00",Research for Patient Benefit,NE7 7DN,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-522660-90118,"£18,425.00",Research for Patient Benefit,NE7 7DN,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-522660-90118,"£41,555.00",HTA Commissioned Research,NE7 7DN,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-522660-90118,"£18,947.00",Research for Patient Benefit,NE7 7DN,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-522662-90112,"£21,166.00",Experimental Cancer Medicine Centres,SM2  5PT,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-522662-90112,"£15,576.00",Research for Patient Benefit,SM2  5PT,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE SOLENT NHS TRUST R1C,ERS-522663-90160,"£26,646.00",Research for Patient Benefit,SO16 4XE,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE SOLENT NHS TRUST R1C,ERS-522663-90160,"£94,037.00",Programme Grants for NHS Trusts,SO16 4XE,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,THE SOLENT NHS TRUST R1C,ERS-522663-90160,"£76,702.00",Programme Grants for NHS Trusts,SO16 4XE,,Programme,PUBLIC,
