Department,Entity,Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
FCO,FCO,08/11/2016,8315449,27688.32,PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,22/11/2016,8461656,27674.4,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
FCO,FCO,29/11/2016,8543433,27640,CONFEDERATION OF INDIAN INDUSTRY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,14/11/2016,8361595,27638.03,AVARN SECURITY OY,Local Guards
FCO,FCO,14/11/2016,8360427,27591.25,CARBON TRUST ADVISORY LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/11/2016,8244585,27552.42,NORTEL SECURITY ZAO OP,Local Guards
FCO,FCO,23/11/2016,8477519,27475.49,IT POWER LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/11/2016,8316477,27428.5,DX NETWORK SERVICES,Postal Services
FCO,FCO,25/11/2016,8494402,27426,KHMER MEKONG FILMS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/11/2016,8245612,27370,S MACNEILLIE & SON LTD,Vehicle Maintenance
FCO,FCO,16/11/2016,8399494,27356.79,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
FCO,FCO,04/11/2016,8280582,27343.82,G4S SECURE SOLUTIONS INT JORDAN,Local Guards
FCO,FCO,14/11/2016,8353476,27318,HUMAN RIGHTS INFORMATION CENTER NGO,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/11/2016,8399510,27192.25,ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,08/11/2016,8309453,27162.73,PANAFRIEL HOLDINGS LIMITED,Hire Of Office Machinery
FCO,FCO,16/11/2016,8400652,27109.75,FCO SERVICES,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,17/11/2016,8427618,27093.55,INTERSERVE FM LTD,Multiple Accounts
FCO,FCO,01/11/2016,8160571,26999.2,THE ENGLISH SCHOOL,Multiple Accounts
FCO,FCO,30/11/2016,8551449,26997.65,FCO SERVICES,IT/IS Consultancy
