Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,21/07/2015,Purchase of inventory and services ,DES Bespoke Trading Entity,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,35976,Cost of other material consumed,"Ł2,606.05"
Ministry of Defence,Ministry of Defence,15/07/2015,Purchase of inventory and services ,HO+CS,WILLIAMS LEA LIMITED,NR3 1PD,34049,Cost of other material consumed,"Ł2,600.64"
Ministry of Defence,Ministry of Defence,20/07/2015,Food and clothing,Land Forces,SODEXO LTD,M50 0AL,35774,Cost of clothing and textile services received,"Ł2,561.32"
Ministry of Defence,Ministry of Defence,24/07/2015,IT and communication services,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,37267,Line + telephone rental including commercial charge for use of radio frequencies,"Ł2,545.66"
Ministry of Defence,Ministry of Defence,20/07/2015,"Transportation of personnel, freight and travel expenses",HO+CS,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,35288,Freight movement costs,"Ł2,544.00"
Ministry of Defence,Ministry of Defence,02/07/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,30331,Fiscal asset under construction - capital in year addition,"Ł2,539.38"
Ministry of Defence,Ministry of Defence,14/07/2015,Spend on Inventory - General,Air Command,MILLBROOK FURNISHING INDUSTRIES LIMITED,SO40 3XJ,33667,Spend on Inventory - General,"Ł2,538.31"
Ministry of Defence,Ministry of Defence,23/07/2015,Purchase of inventory and services ,JFC,XMA LTD,NG11 7EP,37229,Cost of other material consumed,"Ł2,532.41"
Ministry of Defence,Ministry of Defence,09/07/2015,General services and support,Land Forces,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,32156,Purchase of defence support equipment below capitalisation threshold of Ł25k.,"Ł2,525.11"
Ministry of Defence,Ministry of Defence,29/07/2015,"Transportation of personnel, freight and travel expenses",Defence Equipment + Support,METCALFE FARMS (HAULAGE) LIMITED,DL8 5JZ,39005,Freight movement costs,"Ł2,509.43"
Ministry of Defence,Ministry of Defence,23/07/2015,"Transportation of personnel, freight and travel expenses",Navy Command,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,36872,Freight movement costs,"Ł2,504.02"
