Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.05.2011 to 31.05.2011,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD METROPOLITAN DISTRICT COUNCIL,354986,1283920
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,GATESHEAD METROPOLITAN BOROUGH COUNCIL,354988,2323963.8
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,GATESHEAD METROPOLITAN BOROUGH COUNCIL,354988,1264133
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE CITY COUNCIL,354990,962621
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,NEWCASTLE CITY COUNCIL,354990,3414329
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,NORTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,354992,951077
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,NORTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,354992,671649
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,354994,2287566.2
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,SOUTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,354994,1009084
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,SUNDERLAND COUNTY COUNCIL,354996,1114624
