Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Description,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,NORWICH CITY COMMUNITY SPORTS FOUNDATION,3000013876,"56,654.00","National Citizen Service project grant - aims to foster a more cohesive, responsible and engaged society by providing young people aged 16 and giving them an opportunity to spend the summer undertaking challenging team-based activities and worthwhile voluntary projects in their local communities.  ",,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT EXCHANGE,3000013860,"84,200.00",Final instalment 2010-11 Strategic grant,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,V,3000013893,"415,472.00",v match funding to support youth volunteering projects,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,V,3000013893,"2,654,000.00",v grants to support youth volunteering,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2010,Grants-in-Aid to NDPB's,OFFICE OF THE THIRD SECTOR NDPBS,CAPACITY BUILDERS UK LTD,3000013857,"2,500,000.00",Capacitybuilders grant-in-aid - to build sector support services for civil society organisations,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2010,Agency and Temporary Staff,ERG - DIRECTGOV ,CADENCE PARTNERSHIP LLP,2018755043,"31,672.13",Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/12/2010,GRANT FUND MANAGEMENT SERVICES,ERG - OFFICE FOR CIVIL SOCIETY,FUTUREBUILDERS ENGLAND,3000013902,"609,578.45",Payment for the delivery and management of the Futurebuilders Fund - a loan and grant fund for organisations delivering public services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/12/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,V,3000013919,"2,658,000.00",v grants to support youth volunteering,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/12/2010,Supplies and Services,PARLIAMENTARY COUNSEL OFFICE,LEXIS NEXIS BUTTERWORTHS,3000013910,"35,171.17","Halsbury’s Statutes Vol 46, Consolidated Index and Statutory Instructions ",,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,29/12/2010,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19022,"94,356.07",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 19023,"137,438.20",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Moves & Changes,Network Services,GLOBAL CROSSING,PINMTS 19064,"25,030.12",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Moves & Changes,Network Services,GLOBAL CROSSING,PINMTS 19065,"33,442.63",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Moves & Changes,Network Services,GLOBAL CROSSING,PINMTS 19070,"74,361.43",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Moves & Changes,Network Services,GLOBAL CROSSING,PINMTS 19072,"80,576.00",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 19073,"374,481.29",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 19074,"78,685.95",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Moves & Changes,Network Services,GLOBAL CROSSING,PINMTS 19076,"229,739.00",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Data Services,Network Services,GLOBAL CROSSING,PINMTS 19077,"39,090.17",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Data Services,Network Services,GLOBAL CROSSING,PINMTS 19084,"66,406.34",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Data Services,Network Services,GLOBAL CROSSING,PINMTS 19085,"37,700.19",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Moves & Changes,Network Services,GLOBAL CROSSING,PINMTS 19086,"95,669.00",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,30/12/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 19092,"40,906.85",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
