UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC33793,07-Jun-12,General Retail and Wholesale       , ELECTRONICS STORES,"Ł1,183.00",33793
MODGPC33794,06-Jun-12,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"Ł2,526.00",33794
MODGPC33795,13-Jun-12,General Retail and Wholesale       , SPORTING GOODS STORES,Ł576.00,33795
MODGPC33796,13-Jun-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł1,220.00",33796
MODGPC33797,07-Jun-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł1,460.00",33797
MODGPC33798,11-Jun-12,General Retail and Wholesale       , SMALL APPLIANCE REPAIR DEF,"Ł2,140.75",33798
MODGPC33799,13-Jun-12,General Retail and Wholesale       , HARDWARE STORES,"Ł1,270.68",33799
MODGPC33800,13-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł5,856.48",33800
MODGPC33801,13-Jun-12,General Retail and Wholesale       , HARDWARE STORES,Ł726.00,33801
MODGPC33802,07-Jun-12,General Retail and Wholesale       , ELECTRONICS STORES,Ł956.29,33802
MODGPC33803,11-Jun-12,General Retail and Wholesale       , HARDWARE STORES,"Ł1,943.42",33803
MODGPC33804,08-Jun-12,General Retail and Wholesale       , SPORTING GOODS STORES,"Ł11,643.38",33804
MODGPC33805,09-Jun-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,Ł831.20,33805
MODGPC33806,08-Jun-12,General Retail and Wholesale       , BICYCLE SHOPS/SALES/SERVICE,Ł599.94,33806
MODGPC33807,08-Jun-12,General Retail and Wholesale       , MISC APPAREL/ACCESS STORES,"Ł4,999.99",33807
MODGPC33808,08-Jun-12,General Retail and Wholesale       , MISC APPAREL/ACCESS STORES,Ł997.32,33808
MODGPC33809,12-Jun-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"Ł1,095.00",33809
MODGPC33810,08-Jun-12,General Retail and Wholesale       , DRAPERY & UPHOLSTERY STORES,"Ł6,959.57",33810
MODGPC33811,06-Jun-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,Ł801.36,33811
MODGPC33812,06-Jun-12,General Retail and Wholesale       , HARDWARE STORES,"Ł3,679.20",33812
MODGPC33813,12-Jun-12,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"Ł1,123.58",33813
MODGPC33814,08-Jun-12,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"Ł1,123.58",33814
MODGPC33815,12-Jun-12,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"Ł1,047.55",33815
MODGPC33816,12-Jun-12,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"Ł1,047.55",33816
MODGPC33817,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł854.12,33817
MODGPC33818,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł995.00,33818
MODGPC33819,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł771.40,33819
MODGPC33820,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł958.15,33820
MODGPC33821,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł971.21,33821
MODGPC33822,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,017.89",33822
MODGPC33823,08-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,448.02",33823
MODGPC33824,08-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł2,443.58",33824
MODGPC33825,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł8,784.43",33825
MODGPC33826,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł8,512.80",33826
MODGPC33827,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,730.52",33827
MODGPC33828,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł5,947.20",33828
MODGPC33829,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł10,870.20",33829
MODGPC33830,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł5,254.20",33830
MODGPC33831,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł4,201.73",33831
