Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001827093,"6,531,577.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001827093,"699,508.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001827093,"4,033,218.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001827093,"361,718.06",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001827093,"111,008.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001827094,"4,208,900.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001827094,"656,386.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001827094,"2,411,624.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001827094,"260,699.09",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001827094,"118,991.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001827095,"3,579,469.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001827095,"448,512.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001827095,"3,097,981.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001827095,"242,027.86",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001827095,"60,665.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1001827096,"8,907,769.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1001827096,"924,509.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1001827096,"5,581,736.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1001827096,"521,729.04",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1001827096,"183,624.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001827097,"18,994,235.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001827097,"1,796,307.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001827097,"15,201,842.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001827097,"1,131,235.84",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001827097,"241,664.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001827098,"5,635,930.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001827098,"695,092.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001827098,"3,903,038.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001827098,"41,699.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001827098,"340,173.88",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001827098,"99,954.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001827099,"5,476,699.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001827099,"585,033.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001827099,"3,323,017.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001827099,"46,755.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001827099,"332,118.88",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001827099,"112,456.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1001827100,"10,264,152.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1001827100,"1,175,284.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1001827100,"9,457,566.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1001827100,"662,357.81",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1001827100,"128,132.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001827101,"5,572,341.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001827101,"701,956.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001827101,"53,914.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001827101,"3,347,206.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001827101,"53,547.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001827101,"332,759.79",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001827101,"132,904.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001827102,"3,413,103.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001827102,"407,577.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001827102,"36,152.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001827102,"1,916,526.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001827102,"35,893.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001827102,"214,134.95",,,,,,,,
