Department,Entity,Payment date,Transaction Number,Invoice Amount (GBP),Supplier ,Account Description
FCO,FCO,8/30/2013,4291834,"30,315.60",SUPPLY 999 LTD TODD RESEARCH LTD,Technical Supplies (Maint)
FCO,FCO,8/30/2013,4421194,"30,315.60",SUPPLY 999 LTD TODD RESEARCH LTD,Technical Supplies (Maint)
FCO,FCO,8/29/2013,4370449,"79,016.63",SUPPLYSOURCE INC,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,8/29/2013,4406863,"117,826.70",SUPPLYSOURCE INC,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,8/29/2013,4320812,"29,036.42",SWAAT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4400161,"39,952.65",SWAAT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/22/2013,4410312,"99,723.81",SWISS MEDITERRANEAN,Subsidy To Local Medical Schemes
FCO,FCO,8/21/2013,4407256,"89,777.20",SWRA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/22/2013,4384659,"35,801.66",TEAM LEYLAND INTERNATIONAL LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/23/2013,4373506,"27,319.76",THAMES VALLEY POLICE AUTH INCOME,Specialist Contractors
FCO,FCO,8/24/2013,4306448,"26,761.00",THE EURASIA PARTNERSHIP FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/15/2013,4403644,"36,661.00",THE EURASIA PARTNERSHIP FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/28/2013,4418542,"36,291.00",THE EURASIA PARTNERSHIP FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4404848,"33,452.92",THE FINANCE & BANKING RESEARCH INSTITUTE OF THE PEOPLE'S BANK OF CHINA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/6/2013,4394436,"75,360.42",THE GORDON TRUST,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/28/2013,4319764,"51,830.56",THE INTERNATIONAL SCHOOL OF BRUSSELS,Local Education Allowance
FCO,FCO,8/28/2013,4319768,"54,451.68",THE INTERNATIONAL SCHOOL OF BRUSSELS,Local Education Allowance
FCO,FCO,8/29/2013,4391360,"94,956.59",THOMSON REUTERS FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/30/2013,4291591,"119,621.30",TRAFALGAR TOURS,Post - Air Travel
FCO,FCO,8/28/2013,4300369,"25,750.00",TRANSFORM ENGINE PARTNER UK LLP,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/21/2013,4411253,"50,661.00",TURNER & TOWNSEND PROPERTY SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/21/2013,4411424,"31,659.00",TURNER & TOWNSEND PROPERTY SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/30/2013,4421494,"42,255.00",TURNER & TOWNSEND PROPERTY SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/30/2013,4421496,"38,462.01",TURNER & TOWNSEND PROPERTY SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/23/2013,4396313,"84,700.00",UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/9/2013,4400190,"25,747.00",UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/10/2013,4321463,"268,007.80",UNISPACE,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/10/2013,4321463,"76,033.22",UNISPACE,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/11/2013,4324368,"1,200,000.00",UNITED NATIONS OFFICE ON DRUGS AND CRIME,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/12/2013,4344890,"39,444.28",URS SCOTT WILSON LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/12/2013,4349984,"31,982.53",URS SCOTT WILSON LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4412691,"40,426.88",VANJSKO POLITICKA INICIJATIVA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/22/2013,4291505,"56,354.11",VENTURE LAO PTE CO LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/23/2013,4356727,"29,245.00",VERCO ADVISORY SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4404744,"36,556.16",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,8/14/2013,4404745,"47,595.31",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,8/14/2013,4404747,"208,941.10",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,8/14/2013,4404748,"113,392.60",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,8/14/2013,4404749,"40,151.23",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,8/14/2013,4404755,"36,209.35",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,8/14/2013,4404757,"133,217.50",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,8/14/2013,4404758,"68,845.96",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,8/14/2013,4404762,"28,955.72",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,8/14/2013,4404763,"28,695.91",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,8/14/2013,4404768,"318,392.80",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,8/14/2013,4404772,"109,026.60",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,8/8/2013,4304807,"86,568.02",VODAFONE LTD CABLE AND WIRELESS UK,Temporary Staff (Admin and Clerical Only)
FCO,FCO,8/8/2013,4367418,"485,030.70",VODAFONE LTD CABLE AND WIRELESS UK,IT/IS Consultancy
FCO,FCO,8/8/2013,4367418,"485,030.70",VODAFONE LTD CABLE AND WIRELESS UK,Temporary Staff (Admin and Clerical Only)
FCO,FCO,8/8/2013,4399460,"363,104.40",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,8/8/2013,4399483,"155,489.90",VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/8/2013,4399487,"60,152.00",VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/8/2013,4399501,"38,212.00",VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/8/2013,4399509,"436,496.30",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,8/8/2013,4399509,"329,971.20",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,8/8/2013,4399515,"26,243.60",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,8/8/2013,4399516,"135,533.60",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,8/8/2013,4399521,"94,192.80",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,8/8/2013,4399549,"107,788.80",VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/15/2013,4405133,"74,343.17",VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/15/2013,4405438,"31,541.84",VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/30/2013,4420989,"42,226.63",VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/30/2013,4420994,"377,160.50",VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/30/2013,4421014,"37,891.70",VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/30/2013,4421024,"104,606.40",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,8/30/2013,4421024,"59,430.16",VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/30/2013,4421057,"94,493.73",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,8/30/2013,4421057,"94,403.74",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,8/30/2013,4421064,"132,049.00",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,8/30/2013,4421090,"25,568.87",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,8/30/2013,4421093,"822,559.00",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,8/14/2013,4405032,"40,484.93",WATAN PAIWASTON,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4324461,"28,325.00",WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4421749,"340,986.40",WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/30/2013,4419357,"49,867.00",WILLIAM J CLINTON FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4400978,"26,552.96",WILLIAMS LEA,General Information Services
FCO,FCO,8/6/2013,4396324,"48,626.00",WITNESS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/6/2013,4396325,"42,250.00",WITNESS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/6/2013,4396329,"35,487.00",WITNESS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/6/2013,4396329,"35,487.00",WITNESS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/9/2013,4397993,"38,664.00",WITNESS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/19/2013,4396058,"50,172.56",YESH DIN,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/26/2013,4413858,"27,577.98",YOURSTORY MEDIA PRIVATE LIMITED,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,8/21/2013,4407251,"42,611.40",ZIMBABWE HUMAN RIGHTS ASSOCIATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/21/2013,4410487,"25,065.53",ZIMBABWE HUMAN RIGHTS NGO FORUM,Programme Spend (Oracle Projects Control Account)
