MODGPC47338,13-Dec-12,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,Ł742.72,47338
MODGPC47339,12-Dec-12,Catering and Catering Supplies     , CATERERS,"Ł3,029.40",47339
MODGPC47340,10-Dec-12,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,"Ł6,518.35",47340
MODGPC47341,04-Dec-12,Catering and Catering Supplies     , CATERERS,"Ł2,827.14",47341
MODGPC47342,05-Dec-12,Catering and Catering Supplies     , CATERERS,"Ł3,380.35",47342
MODGPC47343,05-Dec-12,Catering and Catering Supplies     , CATERERS,"Ł3,018.38",47343
MODGPC47344,10-Dec-12,Catering and Catering Supplies     , CATERERS,"Ł1,952.68",47344
MODGPC47345,13-Dec-12,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,"Ł1,057.01",47345
MODGPC47346,11-Dec-12,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,"Ł10,000.00",47346
MODGPC47347,06-Dec-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,Ł658.56,47347
MODGPC47348,12-Dec-12,Cleaning Services and Supplies     , EXTERMINATING/DISINFECT SERV,Ł621.76,47348
MODGPC47349,12-Dec-12,Cleaning Services and Supplies     , EXTERMINATING/DISINFECT SERV,Ł621.76,47349
MODGPC47350,06-Dec-12,Cleaning Services and Supplies     , DRY CLEANERS,Ł525.56,47350
MODGPC47351,10-Dec-12,Cleaning Services and Supplies     , DRY CLEANERS,Ł568.80,47351
MODGPC47352,12-Dec-12,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,Ł513.30,47352
MODGPC47353,05-Dec-12,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,"Ł7,455.60",47353
MODGPC47354,05-Dec-12,Cleaning Services and Supplies     , DRY CLEANERS,Ł997.62,47354
MODGPC47355,07-Dec-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,Ł594.00,47355
MODGPC47356,06-Dec-12,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,Ł537.84,47356
MODGPC47357,01-Dec-12,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,Ł967.97,47357
MODGPC47358,12-Dec-12,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,Ł509.52,47358
MODGPC47359,11-Dec-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł2,900.00",47359
MODGPC47360,11-Dec-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł2,900.00",47360
MODGPC47361,10-Dec-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł527.70,47361
MODGPC47362,05-Dec-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł600.00,47362
