Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Defence Science and Technology Laboratory,08/03/2013,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000150105 - 00153658,,60000
Ministry of Defence,Ministry of Defence,11/03/2013,Design services and minor equipment purchases,Navy Command,BULLDOG GEAR LTD,DE13 9HS,178462,Equipment support non-project costs,"60,000.00"
Ministry of Defence,Ministry of Defence,15/03/2013,Rent and rates,Land Forces,ROYAL ARTILLERY MUSEUMS  LIMITED,SE18 6ST,176046,Rent buildings - non civil estate property and married quarter property,"60,000.00"
Ministry of Defence,Ministry of Defence,25/03/2013,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,185486,Equipment support project costs,"60,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,28/03/2013,Sub Contracted Work,Operations,CONVERSE TECHNOLOGY LIMITED,,V - 9000150769 - 00158744,,60000
Ministry of Defence,Defence Science and Technology Laboratory,28/03/2013,Sub Contracted Work,Programme Office,QINETIQ LIMITED,,V - 9000150793 - 00157302,,60000
Ministry of Defence,Ministry of Defence,20/03/2013,Estates-Stores/Equipment,Defence Infrastructure Organisation - Security Services Group,KABA UK LTD,EX16 6SS,AP121213008,Estates-Stores/Equipment,"59,881.20"
Ministry of Defence,Ministry of Defence,26/03/2013,Fees for professional services,Head Office & Corporate Services,DELOITTE MCS LIMITED,MK9 1FD,186531,"The provision of independent advice and guidance related to the structure, management and operations of an organisation","59,818.00"
Ministry of Defence,Ministry of Defence,06/03/2013,Fuel for military use,Air Command,WATSON PETROLEUM LTD,SN15 5DN,177083,Cost of ground diesel fuel consumed,"59,793.84"
Ministry of Defence,Defence Science and Technology Laboratory,08/03/2013,Sub Contracted Research,Programme Office,ATLAS ELEKTRONIK UK LIMITED,,V - 9000150111 - 00147846,,59725.76
Ministry of Defence,Ministry of Defence,11/03/2013,Fees for professional services,Land Forces,ORCHID CELLMARK LTD,OX14 1DY,179088,Fees for professional services excluding legal fees,"59,644.80"
Ministry of Defence,Ministry of Defence,25/03/2013,Fuel for military use,Air Command,HARVEST ENERGY LIMITED,W1G 0PU,185818,Cost of ground diesel fuel consumed,"59,580.86"
Ministry of Defence,Ministry of Defence,12/03/2013,Fees for professional services,Head Office & Corporate Services,LOGICA UK LIMITED,KT22 7LP,179712,"Advice and guidance on how to produce the product, but not production of the product itself.","59,528.12"
