Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  ,,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,KNOWSLEY METROPOLITAN BOROUGH COUNCIL (G),1001885434," 32,720.13 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,NORFOLK COUNTY COUNCIL 1 (G),1001885435," 25,837.37 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001885436," 94,294.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001885436," 3,597,543.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001885436," 421,117.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001885436," 2,014,987.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001885436," 38,294.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001885437," 111,008.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001885437," 6,494,315.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001885437," 699,508.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001885437," 4,010,209.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001885438," 118,991.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001885438," 4,184,889.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001885438," 656,386.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001885438," 2,397,866.00 ",,,
