EA Dec 2011 - >Ł25k Payments report FINAL,,,,,,,,,,,
Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
22-Dec-11,Environmental Services,"Research, Monitoring and Innovation",EPSRC,1026296,"Ł125,000.00",Moreland Restoration works - Flood risk management research consortium,SN2 1ET,,,HOEV101103,Project
22-Dec-11,Environmental Services,NE Yorkshire Area Manager,Yorkshire Wildlife Trust,1026299,"Ł50,000.00",Contribution to Yorkshire Peat Partnership peatland restoration works,YO24 1GN,,,RENE970013,Project
22-Dec-11,Construction Service Providers,NE Regional Flood Programme Manager,Rotherham Metropolitan Borough Council,1026597,"Ł170,000.00",Contribution toward Rotherham Chantry Bridge Flood Alleviation Scheme,S65 1EU,,,,Project
22-Dec-11,Environmental Services,NE North East Area Manager,Northumberland Rivers Trust,1026943,"Ł190,800.00",Diffuse pollution project,NE65 8SZ,,,RENE960014,Project
22-Dec-11,Environmental Services,NE North East Area Manager,River Catchment Services Ltd,1027172,"Ł56,000.00",Forest Streams collaborative project to assess and mitigate 17 water bodies in Kielder Forest 15/10/11 for 3 years,NE15 0PA,,,RENE960007,Project
20-Dec-11,Operational Services,Data and Information Management,Lexis Nexis UK,1024434,"Ł103,629.60",Lexis Library for access to 7 legal Services databases ,CR9 5AF,,,HOEV101104,Administration
20-Dec-11,Pathology,HO Head of Monitoring & Analytical Services,Thermo Fisher Scientific,1022248,"Ł92,323.26",Thermo electron X7 series Inductively Coupled Plasma Mass Spectrometer with collision cell interface Including extending warranty to a total of 5 years NLS Nottingham Laboratory,HP2 7GE,,30290668,NL00000062,Project
22-Dec-11,Pathology,NLS Capital WiP,Thermo Fisher Scientific,1026082,"Ł96,316.56",THERMO Thermo electron X7 series Inductively Coupled Plasma Mass Spectrometer with collision cell interface including extending warranty to a total of 5 years NLS Llanelli R and D Team,HP2 7GE,,30290668,NL00000048,Project
15-Dec-11,Post & Courier,NLS Central Functions,City Sprint,1023199,"Ł38,162.89","Sample, Meter and Internal Mail courier Service.",RH1 1YB,,30293049,,Administration
22-Dec-11,Post & Courier,NLS Central Functions,City Sprint,1025866,"Ł32,995.90","Sample, Meter and Internal Mail courier Service.",RH1 1YB,,30293049,,Administration
20-Dec-11,Print,HO Business Improvement,Stationery Office,1024874,"Ł50,747.76",Hard copy EA Forms,NR3 1QZ,,30238453,,Administration
01-Dec-11,Purchase,WA Capital WiP,AEBI UK Ltd,1018106,"Ł93,604.80", 1 x Aebi TT210 Terratrac with flailmower twin wheels,DN22 7HQ,,40026364,HOFRMWA005,
01-Dec-11,Rail,Head Office,Redfern Travel Ltd,1017426,"Ł345,033.94",Rail Tickets,BD1 1PL,,30127631,,Administration
01-Dec-11,Rail,Head Office,Redfern Travel Ltd,1018145,"Ł227,939.34",Rail Tickets,BD1 1PL,,30127631,,Administration
20-Dec-11,Rail,Head Office,Redfern Travel Ltd,1023181,"Ł312,598.46",Rail Tickets,BD1 1PL,,30127631,,Administration
22-Dec-11,Rail,Head Office,Redfern Travel Ltd,1026321,"Ł284,833.17",Rail Tickets,BD1 1PL,,30127631,,Administration
22-Dec-11,Security,SE Kent & South London- Tidal Flood Risk Manager,MITIE Security London Ltd,1025054,"Ł75,084.10",Static guarding - Thames Barrier,E1W 1XY,,30239724,,Administration
08-Dec-11,Staff Childcare,HR Strategy,Edenred Childcare Vouchers Ltd,1022365,"Ł205,313.52",This is for the Childcare Assistance scheme. This money is reclaimed through Salary Sacrifice from the employee on a monthly basis so the scheme is cost neutral.,SW1V 2RS,,,,Administration
13-Dec-11,Staff Medical Care,Internal Transformation (HSW),Health Management Ltd,1019746,"Ł43,325.40",Occupational health services,BN8 5NN,,,HOHRITA001,Administration
06-Dec-11,Staff Training & Development,WA Wildlife and Environment,Lantra,1020550,"Ł28,302.00",Welsh Angling Qualification Development,CV8 2LG,,,REWA000277,Project
01-Dec-11,Systems Delivery,HO Capital WiP | CIS Capital WiP,Jeremy Benn Associates Ltd,1017555,"Ł33,525.60",Flood warnings for infrastructure project,BD23 3AE,,30219909,FCPIM00033L01 | CIS330866,Project
20-Dec-11,Systems Delivery | Managed/Outsource Services | Hardware | Software | Telecoms,Bristol 2010 | CI SD Management MRA | HO Capital WiP | CI Solutions Delivery Management | CIS Capital WiP | National Accomodation Change Fund | Incident Management Manager | CI Infrastructure Change Programme MRA,Capgemini UK Plc,1024228,"Ł6,452,223.50",IT Service Procurement outsource contract and work order costs for Nov 11,GU21 6DB,,30259319 | 30295016 | 30259316 | 30259320 | 30282611 | 30304723,HORES00001 |  | IMNE430009 |  | EBOCC40005L01 | BBPDM20021L01 | CIS111923 | CIS330352 | FCPMM00050L03 | CIS330787 |  | EBCRI11502L01 |  |  | FCPAM00005L01 |  | CIS330899 |  | CIS3309115 |  |  | HORES00073 |  | FCPIM00020L01 |  | HORES00043 | CIS3306199 |  | ,Administration/Project
06-Dec-11,Technical Consultancy,National Permitting Service,Wardell Armstrong LLP,1017843,"Ł26,019.41",Environmental Permitting Regulations Support,ST1 5BD,,30149984,,Administration
20-Dec-11,Technical Consultancy,National Permitting Service,Jacobs Engineering UK Ltd,1023960,"Ł83,171.68",Environmental Permitting Support,G2 7HX,,30149972,,Administration
20-Dec-11,Technical Consultancy,National Permitting Service,Wardell Armstrong LLP,1023961,"Ł30,084.37",Environmental Permitting Support,ST1 5BD,,30149984,,Administration
22-Dec-11,Technical Consultancy,National Permitting Service,Atkins Ltd,1025187,"Ł38,259.98",Environmental Permitting Support,KT18 5BW,,30148931,,Administration
13-Dec-11,Telecoms,HO Flood Warning Systems,MM Teleperformance Ltd,1022406,"Ł62,272.90",Call centre and managment costs for Floodline live agent and RMS service,BS1 3LG,,30146474,,Administration
13-Dec-11,Vehicle Maintenance,HO Fleet Operations,Briggs Marine Contractors Ltd,1021948,"Ł196,527.14",Service inspection maintenance and repair - Boat Maintenance Nov 11,KY3 9AX,,30277423,HORES00015,Administration
13-Dec-11,Vehicle Maintenance,HO Fleet - EA Wales,Hitachi Capital Commercial Vehicle Services,1023176,"Ł28,960.77",Service Inspection Maintenance and Repair - Commercial Vehicle Maintenance - Wales,BA14 8QU,,40018959,,Administration
15-Dec-11,Vehicle Maintenance,HO Fleet Operations,Hitachi Capital Commercial Vehicle Services,1023239,"Ł221,329.62",Service Inspection Maintenance and Repair - Commercial Vehicle Maintenance ,BA14 8QU,,30182247,,Administration
15-Dec-11,Building Management,National Accomodation Change Fund,BRIGHTSEA S.a r.l.,1025511,"Ł714,000.00",Rent payment for early termination under lease agreement,,,,,
15-Dec-11,,AN Capital WiP,Birketts LLP,1026841,"Ł43,986.90",Purchase of land rights at Coveney,,,,,
15-Dec-11,,AN Capital WiP,Birketts LLP,1026847,"Ł37,288.90",Purchase of land rights at Coveney,,,,,
15-Dec-11,,National Estates Manager,Clinton Solicitors,1022980,"Ł78,000.00",Legal Services,,,,,
15-Dec-11,,SW Capital WiP,Davitt Jones Bould,1024969,"Ł317,050.00","Ottery St Mary, completion costs",,,,,
15-Dec-11,,Employers Liability,George Ide LLP,1020938,"Ł25,000.00",Legal Services,,,,,
15-Dec-11,,Nat Trading and Reg Services,UN Office at Geneva,1025050,"Ł279,257.36",Annual charge for International Transaction log for 2012.,,,,,
