Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,25/11/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,407801,Works - estate management,"£61,003.86"
Ministry of Defence,Ministry of Defence,07/11/2014,Fuel for military use,Air Command,CERTAS ENERGY UK LIMITED,WA3 6XG,399724,Cost of ground diesel fuel consumed,"£60,993.48"
Ministry of Defence,Defence Science and Technology Laboratory,14/11/2014,Security Costs,Infrastructure,DEFENCE BUSINESS SERVICES FINANCE,,V - 9000162137 - 00195151,Security Costs,"£60,978.01"
Ministry of Defence,Ministry of Defence,06/11/2014,Spend on Inventory - General,Defence Equipment + Support,DUNLOP AIRCRAFT TYRES LTD,B24 9HL,399282,Spend on Inventory - General,"£60,950.00"
Ministry of Defence,Ministry of Defence,07/11/2014,Design services and minor equipment purchases,Defence Equipment + Support,CUBIC DEFENSE APPLICATIONS INC.,,399743,Post design services which are not capitalised,"£60,846.34"
Ministry of Defence,Ministry of Defence,20/11/2014,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,404834,Equipment support non-project costs,"£60,696.00"
Ministry of Defence,Defence Science and Technology Laboratory,21/11/2014,Capital Asset expenditure,Infrastructure,SERCO LIMITED,,V - 9000162292 - 00195551,Capital Asset expenditure,"£60,675.04"
Ministry of Defence,Defence Science and Technology Laboratory,28/11/2014,Sub Contracted Work,Programme Delivery Directorate,RED SCIENTIFIC LIMITED,,V - 9000162438 - 00195797,Sub Contracted Work,"£60,642.00"
Ministry of Defence,Ministry of Defence,25/11/2014,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,408062,Works - estate management,"£60,561.71"
Ministry of Defence,Defence Science and Technology Laboratory,21/11/2014,Sub Contracted Research,Programme Delivery Directorate,QINETIQ LIMITED,,V - 9000162290 - 00192030,Sub Contracted Research,"£60,501.00"
Ministry of Defence,Ministry of Defence,27/11/2014,Spend on Inventory - General,Defence Equipment + Support,3M UNITED KINGDOM PUBLIC LIMITED COMPANY,RG12 8HT,408682,Spend on Inventory - General,"£60,480.00"
Ministry of Defence,Ministry of Defence,05/11/2014,Purchase of inventory and services ,Land Forces,WILLIAMS LEA LIMITED,NR3 1PD,399117,Cost of other material consumed,"£60,218.56"
Ministry of Defence,Ministry of Defence,24/11/2014,Fees for professional services,Navy Command,CRANFIELD UNIVERSITY,MK43 0AL,407228,Fees for professional services excluding legal fees,"£60,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,04/11/2014,Sub Contracted Work,Programme Delivery Directorate,QINETIQ LIMITED,,V - 9000161953 - 00194282,Sub Contracted Work,"£60,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,14/11/2014,Sub Contracted Work,Programme Delivery Directorate,QINETIQ LIMITED,,V - 9000162171 - 00194607,Sub Contracted Work,"£60,000.00"
Ministry of Defence,Ministry of Defence,07/11/2014,"Transportation of personnel, freight and travel expenses",Defence Equipment + Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,399752,Freight movement costs,"£59,969.97"
Ministry of Defence,Ministry of Defence,28/11/2014,Spend on Inventory - General,Defence Equipment + Support,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,409487,Spend on Inventory - General,"£59,876.56"
Ministry Of Defence,British Defence Staff - United States,20-Oct-14,R&D,"N00019-13-D-0005, DO-0004 CLIN 0003AA",LOCKHEED MARTIN AERONAUTICS,,380370,"N00019-13-D-0005, DO-0004 CLIN 0003AA
100KG SPEAR CAPABILITY3","£59,692.15"
Ministry of Defence,Ministry of Defence,24/11/2014,Food and clothing,Defence Equipment + Support,COMPASS SERVICES (U.K.) LIMITED,GU15 4PQ,407220,Cost of food purchases,"£59,654.17"
Ministry of Defence,Ministry of Defence,18/11/2014,Spend on Inventory - General,Defence Equipment + Support,INTERNATIONAL SAFETY PRODUCTS LTD,L20 6JU,404073,Spend on Inventory - General,"£59,649.60"
Ministry of Defence,Ministry of Defence,18/11/2014,Spend on Inventory - General,Defence Equipment + Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,403882,Spend on Inventory - General,"£59,601.16"
Ministry of Defence,Ministry of Defence,06/11/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,399255,Estate + facilities management services - accommodation inventory + service,"£59,298.49"
Ministry of Defence,Ministry of Defence,28/11/2014,Externally delivered education and training,Land Forces,UNIVERSITY OF MANCHESTER,M13 9PL,410005,External training - civilian,"£59,250.80"
Ministry of Defence,Ministry of Defence,26/11/2014,Spend on Inventory - General,Defence Equipment + Support,ANIXTER LIMITED,WA3 6GP,408127,Spend on Inventory - General,"£59,221.26"
Ministry of Defence,Ministry of Defence,19/11/2014,Design services and minor equipment purchases,Defence Equipment + Support,BAE SYSTEMS MARINE LTD,LA14 1AF,404382,Equipment support non-project costs,"£59,162.00"
