Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.10.2011 to 31.10.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,396688,76062.17,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,GUMLEY HOUSE CONVENT CAPITAL FUND ACCOUNT,396690,54537.03,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,396694,166753.04,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DICESE FOR DURHAM SCHOOLS ACCOUNT,396704,43944.16,
DfE,PfS,12/10/2011,Building Work - Capital Programme,Free School Capital Costs,CANARY WHARF COLLEGE,396706,185719.42,
DfE,PfS,12/10/2011,VAT Debtor - Academy Trusts,Free School Capital Costs,CANARY WHARF COLLEGE,396706,37143.88,
DfE,PfS,13/10/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTH GLOUCESTERSHIRE COUNCIL,396710,26373,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,396932,130061.51,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,396934,60793.65,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,396936,38559.8,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,396942,240824.63,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,396944,102882.13,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,396952,316772.22,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,396956,122055.64,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,396958,205563.92,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,BRENTWOOD ROMAN CATHOLIC DIOCESAN TRUSTEES SCHOOL BUILDINGS ACCOUNT,396962,33070.98,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL ARCHDIOCESIAN SCHOOL REPAIR ACCOUNT,396966,96754.11,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,396972,337328.1,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,396974,158610.68,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,ST RICHARDS ROMAN CATHOLIC PRIMARY SCHOOL,396978,140561.87,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,396980,119672.64,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,POPE PIUS X CHURCH HIGH SCHOOL,396984,121301.45,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,ST MARY'S PRIORY ROMAN CATHOLIC SCHOOL,396986,36567.95,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,396988,433472.85,
DfE,PfS,14/10/2011,Capital Grant,Schools Capital and Revenue Grants,EDUCATIONAL DEVELOPMENT LTD - SCHOOLS ACCOUNT,396990,81552.64,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,397619,2009132,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,BARNET,397621,1508672,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,BEXLEY LONDON BOROUGH COUNCIL,397623,775818,
DfE,PfS,17/10/2011,,,BRENT LONDON BOROUGH COUNCIL,397625,1787656.26,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,BRENT LONDON BOROUGH COUNCIL,397625,1017745.74,
