Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Home Office,Home Office,14/12/2010,"IT, Broadcasting & Telecomms.IT Running Cost - Maint - PROG",CPG - Crime & Policing Group,ATOS ORIGIN IT SERVICES UK LIMITED- MEDICAL SERVICES,1857918,"1,832,229.54"
Home Office,Home Office,24/12/2010,"IT, Broadcasting & Telecomms.IT Run Costs Other - ADMN",CPG - Crime & Policing Group,FUJITSU SERVICES LTD,1864231,"674,273.17"
Home Office,Home Office,10/12/2010,IT & Telecommunications.IT & Telecommunications,CPG - Crime & Policing Group,CABLE AND WIRELESS,1868297,"439,972.38"
Home Office,Home Office,10/12/2010,Utilities.Small Scale Radio Sys - PROG,CPG - Crime & Policing Group,RADIO SYSTEMS LTD,1843358,"28,088.38"
Home Office,Home Office,08/12/2010,"IT, Broadcasting & Telecomms.Software - ADMN",CPG - Crime & Policing Group,FUJITSU SERVICES (ALCEDO) LTD,1687697,"1,007,680.00"
Home Office,Home Office,24/12/2010,"IT, Broadcasting & Telecomms.Software - ADMN",CPG - Crime & Policing Group,FUJITSU SERVICES LTD,1864245,"79,660.30"
Home Office,Home Office,24/12/2010,IT & Telecommunications.IT & Telecommunications,CPG - Crime & Policing Group,FUJITSU SERVICES (ALCEDO) LTD,1864254,"72,351.80"
Home Office,Home Office,24/12/2010,"IT, Broadcasting & Telecomms.Software - ADMN",CPG - Crime & Policing Group,FUJITSU SERVICES (ALCEDO) LTD,1864243,"60,827.40"
Home Office,Home Office,24/12/2010,"IT, Broadcasting & Telecomms.Sirius - Applications",CPG - Crime & Policing Group,FUJITSU SERVICES (ALCEDO) LTD,1864246,"89,408.47"
Home Office,Home Office,24/12/2010,"Transport, Storage & Mail Serv.File (Archive) Storage - ADMN",CPG - Crime & Policing Group,TNT UK LIMITED,1880090,"36,617.19"
Home Office,Home Office,24/12/2010,Storage & Mail Services.Messenger & Reception Services,OSCT - Office of Security & Counter Terrorism,CT CENTRE (MOD) T/A DSTL,1879305,"531,400.42"
Home Office,Home Office,24/12/2010,IT & Telecommunications Equip.Hardware adapters - ADMN,OSCT - Office of Security & Counter Terrorism,FUJITSU SERVICES (ALCEDO) LTD,1864257,"284,181.21"
Home Office,Home Office,02/12/2010,Healthcare Services.Healthcare Services - PROG,OSCT - Office of Security & Counter Terrorism,CT CENTRE (MOD) T/A DSTL,1857759,"90,440.81"
Home Office,Home Office,03/12/2010,Professional & Admin Services.Consultant - Imp & Del - PROG,OSCT - Office of Security & Counter Terrorism,KPMG,1864521,"54,341.40"
Home Office,Home Office,03/12/2010,Professional & Admin Services.Consultant - Imp & Del - PROG,OSCT - Office of Security & Counter Terrorism,KPMG,1864528,"49,704.85"
Home Office,Home Office,23/12/2010,Professional & Admin Services.Business admin services - PROG,OSCT - Office of Security & Counter Terrorism,LONDON BOROUGH OF NEWHAM,1878306,"46,401.92"
Home Office,Home Office,02/12/2010,"Science, Technical & Research.Testing",OSCT - Office of Security & Counter Terrorism,CT CENTRE (MOD) T/A DSTL,1863181,"32,884.73"
Home Office,Home Office,08/12/2010,Professional & Admin Services.Seconded in Staff costs - PROG,OSCT - Office of Security & Counter Terrorism,CITY OF LONDON POLICE FORCE,1867230,"31,234.68"
Home Office,Home Office,14/12/2010,"Clothes, shoes & Personal Care.Clothing - PROG",OSCT - Office of Security & Counter Terrorism,REMPLOY LTD,1871482,"25,819.92"
Home Office,IPCC - Independent Police Complaints Commision,13/12/2010,IT,IPCC - Independent Police Complaints Commision,STERIA,RCT0034635,"321,303.00"
Home Office,IPCC - Independent Police Complaints Commision,13/12/2010,IT,IPCC - Independent Police Complaints Commision,STERIA,RCT0034636,"317,778.00"
Home Office,IPCC - Independent Police Complaints Commision,22/12/2010,Facilities,IPCC - Independent Police Complaints Commision,EASTERN BUSINESS PARK,RCT0034757,"32,084.55"
Home Office,IPCC - Independent Police Complaints Commision,22/12/2010,Facilities,IPCC - Independent Police Complaints Commision,OMD SERVICES LIMITED,RCT0034769,"58,924.54"
Home Office,IPCC - Independent Police Complaints Commision,22/12/2010,Facilities,IPCC - Independent Police Complaints Commision,HARTNELL TAYLOR COOK LLP,RCT0034759,"42,812.59"
Home Office,IPCC - Independent Police Complaints Commision,22/12/2010,Facilities,IPCC - Independent Police Complaints Commision,OMD SERVICES LIMITED,RCT0034769,"46,769.16"
Home Office,IPCC - Independent Police Complaints Commision,22/12/2010,Facilities,IPCC - Independent Police Complaints Commision,OMD SERVICES LIMITED,RCT0034769,"328,930.15"
Home Office,IPCC - Independent Police Complaints Commision,22/12/2010,Facilities,IPCC - Independent Police Complaints Commision,OMD SERVICES LIMITED,RCT0034769,"258,033.60"
Home Office,ISA - Independent Safeguarding Authority,15/12/2010,Rent,Finance & Corporate Resources,City & Northern Ltd,2909,"137,267.61"
Home Office,ISA - Independent Safeguarding Authority,22/12/2010,NPIA,Operations,NPIA,2914,"288,000.00"
Home Office,SIA - Security Industry Authority,15/12/2010,CRB Disclosures,Licensing,CRB,CCRB01,"167,211.00"
Home Office,SIA - Security Industry Authority,22/12/2010,Syntegra,Licensing,BT Syntegra,CSYN01,"456,236.39"
Home Office,NPIA - National Policing Improvement Agency,01/12/2010,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100048272,"14,764,483.34"
Home Office,NPIA - National Policing Improvement Agency,01/12/2010,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100048273,"224,932.61"
Home Office,NPIA - National Policing Improvement Agency,01/12/2010,IT software,Operations Directorate,Oracle UK,5100048737,"21,890.65"
Home Office,NPIA - National Policing Improvement Agency,01/12/2010,IT software,Operations Directorate,Oracle UK,5100048737,554.93
Home Office,NPIA - National Policing Improvement Agency,01/12/2010,IT software,Operations Directorate,Oracle UK,5100048737,"118,683.20"
Home Office,NPIA - National Policing Improvement Agency,01/12/2010,IT software,Operations Directorate,Oracle UK,5100048737,"3,008.65"
Home Office,NPIA - National Policing Improvement Agency,01/12/2010,Management consultancy,Information & Communications Technology & Science Directorate,Price Waterhouse Coopers,5100048803,"50,000.00"
